Date,High,Low,Open,Close,Volume,Adj Close
2021-11-01,865.0,841.0999755859375,854,862,133820,862
2021-11-02,869.0,856.0,863,866,104393,866
2021-11-03,868.1630249023438,861.0,866,863,56637,863
2021-11-04,882.0,860.9600219726562,866,882,403952,882
2021-11-05,885.0,873.3099975585938,882,882,403489,882
2021-11-08,891.0,874.0,874,891,268359,891
2021-11-09,889.5,880.0,889,886,428696,886
2021-11-10,889.25,875.0,887,876,77678,876
2021-11-11,883.0,876.0,877,883,83171,883
2021-11-12,885.0,877.239990234375,880,880,69526,880
2021-11-15,886.739990234375,875.0,884,882,318770,882
2021-11-16,880.7000122070312,876.0,880,877,92577,877
2021-11-17,888.2100219726562,876.0,876,880,247295,880
2021-11-18,890.0,878.1599731445312,890,882,70100,882
2021-11-19,880.0,864.4940185546875,880,873,245367,873
2021-11-22,878.0,864.0,877,864,70139,864
2021-11-23,871.0,841.4450073242188,871,843,179896,843
2021-11-24,849.6400146484375,826.0,847,836,158376,836
2021-11-25,841.0,831.0,831,839,240353,839
2021-11-26,826.4959716796875,813.0,820,820,278494,820
2021-11-29,828.9500122070312,816.0,820,824,172352,824
2021-11-30,828.0,812.0,812,822,356821,822
2021-12-01,830.0,820.2999877929688,830,826,210948,826
2021-12-02,822.0,809.0,818,812,144344,812
2021-12-03,822.85302734375,812.0,816,814,164421,814
2021-12-06,822.0,813.3250122070312,822,818,239850,818
2021-12-07,831.0,820.10302734375,822,829,141970,829
2021-12-08,840.0,824.0,824,835,179341,835
2021-12-09,839.1400146484375,831.0,836,832,71957,832
2021-12-10,836.0,827.0,831,832,178311,832
2021-12-13,831.7960205078125,827.0,830,828,173008,828
2021-12-14,834.0,818.0,834,823,354378,823
2021-12-15,826.0,819.0,819,821,190631,821
2021-12-16,837.697021484375,828.364013671875,836,832,74655,832
2021-12-17,832.0,821.5050048828125,831,832,153906,832
2021-12-20,817.0,805.0,817,809,94498,809
2021-12-21,822.0,816.3300170898438,822,818,75815,818
2021-12-22,826.0,817.0,817,826,96505,826
2021-12-23,834.0,826.0,826,834,78040,834
2021-12-24,834.0999755859375,832.0,833,833,10361,833
2021-12-29,847.0,832.4000244140625,837,842,95081,842
2021-12-30,847.0,840.0,840,846,120334,846
2021-12-31,848.0,842.0,842,848,60415,848
2022-01-04,854.0,837.0,845,845,286134,845
2022-01-05,845.0,835.0,844,837,166219,837
2022-01-06,828.0,813.2999877929688,827,820,90915,820
2022-01-07,816.0,800.0,816,804,111223,804
2022-01-10,809.0,780.0,801,780,92450,780
2022-01-11,792.0,784.0,788,785,385112,785
2022-01-12,793.0,787.0,790,791,134720,791
2022-01-13,791.0,786.0,789,787,85267,787
2022-01-14,788.0,775.0,788,775,86388,775
2022-01-17,784.3280029296875,774.0,783,774,114924,774
2022-01-18,775.0,758.0,774,760,247712,760
2022-01-19,768.0,752.0,754,764,206318,764
2022-01-20,767.0,757.0,765,764,167119,764
2022-01-21,759.0,750.0,758,750,243456,750
2022-01-24,749.0,708.3499755859375,745,722,222706,722
2022-01-25,726.0,714.5859985351562,726,717,142857,717
2022-01-26,732.0,715.5919799804688,725,728,164588,728
2022-01-27,732.0,720.0,723,730,168919,730
2022-01-28,727.0,716.0,726,719,181554,719
2022-01-31,737.0,728.0800170898438,731,737,275775,737
2022-02-01,749.0,732.3200073242188,736,746,721506,746
2022-02-02,756.3330078125,751.0,752,751,134497,751
2022-02-03,750.6500244140625,737.0,750,740,130660,740
2022-02-04,741.0,732.0,741,732,389671,732
2022-02-07,742.0,732.0,742,732,105835,732
2022-02-08,734.0,725.0,734,727,212180,727
2022-02-09,747.0,730.0,732,743,203468,743
2022-02-10,746.219970703125,737.0,744,738,178217,738
2022-02-11,734.7319946289062,727.0,731,729,121502,729
2022-02-14,722.0,707.8820190429688,722,709,171797,709
2022-02-15,723.0,713.0,713,722,139895,722
2022-02-16,726.0,715.0,717,726,169575,726
2022-02-17,725.0,716.0,721,720,147059,720
2022-02-18,720.0,709.0,715,714,97421,714
2022-02-21,713.25,695.0,710,698,171296,698
2022-02-22,701.0,684.0,690,694,140435,694
2022-02-23,703.9500122070312,686.0,702,686,191693,686
2022-02-24,682.0,658.0399780273438,670,676,215748,676
2022-02-25,710.0,679.1320190429688,685,710,173253,710
2022-02-28,727.0,695.0750122070312,699,727,297378,727
2022-03-01,724.0,701.6480102539062,723,708,145874,708
2022-03-02,725.0,703.0,707,722,93814,722
2022-03-03,723.47998046875,703.0,719,713,130751,713
2022-03-04,706.0,674.031982421875,702,682,374345,682
2022-03-07,681.0,641.0,665,667,236404,667
2022-03-08,682.4000244140625,650.0,669,650,114903,650
2022-03-09,683.0,665.0,667,678,191341,678
2022-03-10,686.0,673.0999755859375,685,682,224096,682
2022-03-11,701.0,675.0,690,694,174918,694
2022-03-14,709.0,692.0,699,708,129791,708
2022-03-15,705.8909912109375,696.0,700,701,238451,701
2022-03-16,736.0,711.0,713,731,273295,731
2022-03-17,739.0,727.030029296875,737,730,224978,730
2022-03-18,743.0,728.0,731,740,169052,740
2022-03-21,743.0,734.0,735,743,133381,743
2022-03-22,745.0,735.0,745,745,212959,745
2022-03-23,757.0,727.0,741,740,325093,740
2022-03-24,737.6500244140625,732.0,732,734,54956,734
2022-03-25,745.0,733.0,733,735,60702,735
2022-03-28,744.0,734.0,738,740,99218,740
2022-03-29,770.0,740.0,740,745,425132,745
2022-03-30,751.1099853515625,731.75,750,740,939170,740
2022-03-31,745.0,738.5,744,742,345629,742
2022-04-01,747.0,739.7930297851562,741,746,198139,746
2022-04-04,753.7730102539062,743.0,750,747,188108,747
2022-04-05,755.0,744.0,744,750,97529,750
2022-04-06,750.5999755859375,731.0,748,738,185452,738
2022-04-07,746.0,736.0,740,742,233206,742
2022-04-08,750.25,741.5999755859375,749,747,137560,747
2022-04-11,748.0,740.239990234375,741,742,129292,742
2022-04-12,740.0,730.030029296875,740,734,84367,734
2022-04-13,736.5,730.0,730,732,163131,732
2022-04-14,738.1099853515625,731.0,731,737,36219,737
2022-04-19,733.7999877929688,721.197998046875,730,728,101562,728
2022-04-20,737.0,729.0,735,734,47283,734
