Date,High,Low,Open,Close,Volume,Adj Close
2021-11-01,1679.0,1625.0,1679,1646,494632,1646
2021-11-02,1653.0,1626.0,1634,1632,803334,1632
2021-11-03,1644.0,1622.0,1643,1629,537061,1629
2021-11-04,1779.0,1667.0,1667,1772,1788170,1772
2021-11-05,1785.0,1739.0,1755,1780,741281,1780
2021-11-08,1824.529052734375,1767.0,1823,1783,1074531,1783
2021-11-09,1811.0,1778.0,1798,1778,1123366,1778
2021-11-10,1807.0,1766.0,1807,1768,759029,1768
2021-11-11,1794.0,1748.0,1748,1794,688903,1794
2021-11-12,1795.47998046875,1762.0,1762,1792,673748,1792
2021-11-15,1821.0,1786.0,1821,1793,503172,1793
2021-11-16,1813.0,1785.0,1793,1813,584806,1813
2021-11-17,1836.0,1794.0,1794,1830,1569679,1830
2021-11-18,1878.0,1823.0,1878,1834,491883,1834
2021-11-19,1847.0,1825.0,1834,1838,447785,1838
2021-11-22,1877.8089599609375,1821.0,1877,1821,584725,1821
2021-11-23,1802.0,1770.0,1802,1785,267495,1785
2021-11-24,1800.0,1763.0,1776,1765,275411,1765
2021-11-25,1809.0,1761.0,1809,1761,224842,1761
2021-11-26,1800.0,1716.0,1800,1721,791006,1721
2021-11-29,1771.0,1723.0,1771,1731,758129,1731
2021-11-30,1728.0,1694.0,1712,1701,774191,1701
2021-12-01,1752.0,1705.0,1713,1743,365137,1743
2021-12-02,1747.0,1724.0,1735,1744,439183,1744
2021-12-03,1774.0,1739.0,1774,1749,704636,1749
2021-12-06,1772.0,1746.0,1760,1762,336967,1762
2021-12-07,1812.0,1763.0,1767,1812,549507,1812
2021-12-08,1829.0,1790.0,1803,1796,436358,1796
2021-12-09,1810.0,1773.0,1810,1789,293195,1789
2021-12-10,1821.0,1759.0,1821,1762,260054,1762
2021-12-13,1774.0,1718.0,1718,1737,329684,1737
2021-12-14,1758.4010009765625,1708.0,1758,1708,814039,1708
2021-12-15,1756.0,1700.0,1756,1700,1146196,1700
2021-12-16,1747.0,1717.0,1747,1731,293976,1731
2021-12-17,1737.0,1692.1800537109375,1737,1705,970022,1705
2021-12-20,1688.0,1654.0,1663,1676,221739,1676
2021-12-21,1704.0,1690.0,1697,1693,197617,1693
2021-12-22,1730.0,1688.0,1688,1728,262321,1728
2021-12-23,1753.0,1729.0,1736,1749,172967,1749
2021-12-24,1752.0,1733.0,1750,1734,33006,1734
2021-12-29,1794.0,1753.6400146484375,1756,1776,387726,1776
2021-12-30,1786.0,1749.0,1786,1749,156311,1749
2021-12-31,1770.0,1736.0,1770,1736,69949,1736
2022-01-04,1802.0,1747.1199951171875,1762,1784,1099034,1784
2022-01-05,1799.0,1770.0,1779,1779,313989,1779
2022-01-06,1770.0,1746.0,1759,1757,478184,1757
2022-01-07,1762.0,1723.0,1749,1734,303794,1734
2022-01-10,1751.8499755859375,1672.0,1742,1672,699698,1672
2022-01-11,1698.0,1664.0,1680,1664,361481,1664
2022-01-12,1694.676025390625,1653.0,1653,1684,485824,1684
2022-01-13,1686.0,1657.0,1660,1662,218520,1662
2022-01-14,1656.0,1624.344970703125,1653,1641,368983,1641
2022-01-17,1667.0,1607.0,1607,1666,191143,1666
2022-01-18,1669.0,1636.0,1669,1653,699481,1653
2022-01-19,1691.0,1639.0,1639,1672,847443,1672
2022-01-20,1686.0,1664.0,1679,1679,444847,1679
2022-01-21,1667.0,1625.0,1653,1641,328000,1641
2022-01-24,1640.0,1566.0,1618,1580,639914,1580
2022-01-25,1594.0,1566.0,1591,1591,636411,1591
2022-01-26,1632.0,1551.0,1551,1612,429331,1612
2022-01-27,1641.0,1583.0,1592,1630,592233,1630
2022-01-28,1639.0,1612.0,1636,1620,860462,1620
2022-01-31,1654.0,1635.0,1641,1649,921836,1649
2022-02-01,1695.0,1658.0,1682,1661,989489,1661
2022-02-02,1699.0,1663.0,1663,1699,431229,1699
2022-02-03,1689.0,1636.0,1654,1636,337049,1636
2022-02-04,1676.0,1609.0,1676,1609,300863,1609
2022-02-07,1640.0,1620.0,1631,1638,623411,1638
2022-02-08,1655.0,1626.0,1639,1637,805284,1637
2022-02-09,1656.0,1617.0,1617,1650,558161,1650
2022-02-10,1663.0,1614.0,1658,1615,482072,1615
2022-02-11,1633.0,1603.0,1624,1603,423424,1603
2022-02-14,1599.0,1557.0,1588,1580,677980,1580
2022-02-15,1624.0,1559.0,1559,1618,408033,1618
2022-02-16,1642.0,1593.0,1603,1606,1007096,1606
2022-02-17,1621.0,1578.0,1621,1588,468766,1588
2022-02-18,1616.0,1583.0,1616,1588,791977,1588
2022-02-21,1629.0,1549.0,1629,1561,693066,1561
2022-02-22,1582.0,1530.0,1530,1558,625948,1558
2022-02-23,1591.0,1556.0,1578,1556,532676,1556
2022-02-24,1544.0,1480.0,1480,1499,1090972,1499
2022-02-25,1543.0,1438.0,1543,1508,1523346,1508
2022-02-28,1491.0,1422.0,1476,1463,1648010,1463
2022-03-01,1464.0,1397.0,1455,1405,1267769,1405
2022-03-02,1487.0,1398.0,1442,1481,948610,1481
2022-03-03,1481.0,1375.0,1465,1375,824333,1375
2022-03-04,1388.0,1277.0,1388,1277,890670,1277
2022-03-07,1291.0,1199.0,1266,1287,867356,1287
2022-03-08,1327.0,1274.0,1283,1296,807439,1296
2022-03-09,1357.0,1309.0,1322,1357,567647,1357
2022-03-10,1379.0,1329.0,1379,1329,449340,1329
2022-03-11,1382.0,1329.0,1348,1360,510359,1360
2022-03-14,1400.0,1347.0,1347,1383,459860,1383
2022-03-15,1387.0,1359.0,1362,1387,596227,1387
2022-03-16,1485.0,1414.0,1418,1481,1634915,1481
2022-03-17,1497.7850341796875,1460.39599609375,1484,1481,785168,1481
2022-03-18,1499.0,1445.5059814453125,1499,1493,2159282,1493
2022-03-21,1495.0,1468.0,1495,1495,588068,1495
2022-03-22,1493.0,1469.0,1476,1472,609449,1472
2022-03-23,1486.0,1453.0,1460,1454,422243,1454
2022-03-24,1459.0,1420.0,1442,1426,318221,1426
2022-03-25,1431.0,1395.0,1395,1398,446969,1398
2022-03-28,1421.0,1393.0,1411,1399,241662,1399
2022-03-29,1432.0,1370.0,1370,1432,920458,1432
2022-03-30,1428.0,1372.0,1420,1372,632541,1372
2022-03-31,1410.0,1360.0,1399,1363,705441,1363
2022-04-01,1374.0,1355.0,1355,1358,309337,1358
2022-04-04,1380.0,1337.6600341796875,1380,1368,347327,1368
