Date,High,Low,Open,Close,Volume,Adj Close,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2021-11-01,1431.0,1399.010009765625,1425.0,1414.0,599405,1414.0,,,,,1365.0
2021-11-02,1428.0,1406.0,1428.0,1412.0,323315,1412.0,,,,,1404.0
2021-11-03,1423.0,1383.0,1383.0,1421.0,102266,1421.0,,,,,1403.0
2021-11-04,1452.0,1408.0,1408.0,1427.0,492595,1427.0,,,,,1395.0
2021-11-05,1462.0,1393.0,1462.0,1414.0,186873,1414.0,,,,,1362.0
2021-11-08,1430.0,1396.1800537109375,1402.0,1420.0,1229164,1420.0,,,,,1376.0
2021-11-09,1454.0,1417.0,1425.0,1419.0,268349,1419.0,,,,,1363.0
2021-11-10,1420.0,1402.0,1416.0,1411.0,256089,1411.0,,,,,1372.0
2021-11-11,1430.0,1411.0,1416.0,1430.0,199156,1430.0,1422.5,,,,1401.0
2021-11-12,1431.0,1410.0,1431.0,1417.0,119164,1417.0,1422.5,,,,1384.0
2021-11-15,1448.0,1411.0,1448.0,1431.0,120530,1431.0,1422.5,,,,1375.0
2021-11-16,1433.0,1394.0,1394.0,1418.0,149487,1418.0,1427.5,,,,1425.0
2021-11-17,1417.0,1396.0,1408.0,1405.0,642641,1405.0,1427.5,,,,1432.0
2021-11-18,1435.0,1406.0,1410.0,1430.0,665075,1430.0,1424.0,,,,1425.0
2021-11-19,1432.0,1418.0,1432.0,1425.0,143699,1425.0,1424.0,,,,1450.0
2021-11-22,1459.0,1404.0,1459.0,1407.0,131653,1407.0,1426.5,,,,1435.0
2021-11-23,1413.0,1395.0,1396.0,1401.0,90165,1401.0,1426.5,,,,1408.0
2021-11-24,1422.0,1372.0,1372.0,1407.0,97206,1407.0,1415.5,,,,1430.0
2021-11-25,1419.0,1399.0,1399.0,1414.0,121816,1414.0,1415.5,,,,1398.0
2021-11-26,1391.0,1334.0,1384.0,1334.0,284550,1334.0,1396.5,,,,1380.0
2021-11-29,1359.0,1313.0,1346.0,1320.0,143174,1320.0,1386.0,,,,1361.0
2021-11-30,1336.0,1291.5,1308.0,1336.0,502252,1336.0,1375.25,,,,1320.0
2021-12-01,1364.0,1336.0,1364.0,1361.0,106835,1361.0,1375.25,,,,1320.0
2021-12-02,1360.0,1341.0,1348.0,1354.0,127735,1354.0,1375.25,,,,1425.0
2021-12-03,1371.0,1322.0,1322.0,1350.0,221079,1350.0,1356.75,,,,1432.0
2021-12-06,1364.0,1344.0,1363.0,1352.0,81022,1352.0,1356.75,1376.75,,,1403.0
2021-12-07,1365.0,1351.0,1352.0,1365.0,524919,1365.0,1355.25,1376.75,,,1410.0
2021-12-08,1416.0,1326.0,1326.0,1404.0,274490,1404.0,1353.75,1376.75,,,1402.0
2021-12-09,1417.0,1399.0,1414.0,1403.0,72341,1403.0,1354.25,1376.75,,,1427.0
2021-12-10,1406.0,1366.0,1366.0,1395.0,404346,1395.0,1354.25,1376.75,,,1440.0
2021-12-13,1400.0,1353.0,1394.0,1362.0,497883,1362.0,1369.5,1375.25,,,1425.0
2021-12-14,1395.0,1362.0,1362.0,1376.0,343079,1376.0,1369.5,1375.25,,,1378.0
2021-12-15,1409.0,1340.0,1409.0,1363.0,958866,1363.0,1369.5,1375.25,,,1382.0
2021-12-16,1394.0,1372.0,1391.0,1372.0,206273,1372.0,1371.5,1375.25,,,1358.0
2021-12-17,1414.0,1366.0,1387.0,1401.0,342505,1401.0,1371.5,1375.25,,,1365.0
2021-12-20,1391.0,1367.0,1371.0,1384.0,117516,1384.0,1371.5,1375.25,,,1339.0
2021-12-21,1397.0,1370.0,1392.0,1375.0,160704,1375.0,1378.5,1375.25,,,1343.0
2021-12-22,1432.0,1358.0,1358.0,1425.0,206585,1425.0,1386.0,1375.25,,,1361.0
2021-12-23,1441.0,1396.0,1396.0,1432.0,101836,1432.0,1390.5,1375.25,,,1384.0
2021-12-24,1435.0,1425.0,1429.0,1425.0,10084,1425.0,1390.5,1375.25,,,1364.0
2021-12-29,1472.0,1436.0,1436.0,1450.0,179897,1450.0,1406.0,1381.75,,,1349.0
2021-12-30,1451.0,1429.0,1440.0,1435.0,116678,1435.0,1415.0,1381.75,,,1361.0
2021-12-31,1439.0,1408.0,1439.0,1408.0,97654,1408.0,1415.0,1381.75,,,1342.0
2022-01-04,1448.0,1414.0,1421.0,1430.0,347120,1430.0,1415.0,1381.75,,,1364.0
2022-01-05,1429.0,1395.0,1429.0,1398.0,102300,1398.0,1415.0,1381.75,,,1370.0
2022-01-06,1391.0,1368.0,1384.0,1380.0,333468,1380.0,1415.0,1381.75,,,1369.0
2022-01-07,1418.0,1352.0,1418.0,1361.0,81439,1361.0,1412.0,1381.75,,,1337.0
2022-01-10,1365.0,1306.0,1350.0,1320.0,274676,1320.0,1389.0,1389.0,,,1358.0
2022-01-11,1332.531982421875,1307.0,1327.0,1320.0,203159,1320.0,1389.0,1389.0,,,1353.0
2022-01-12,1460.0,1346.0,1350.0,1425.0,521514,1425.0,1383.0,1389.0,,,1331.0
2022-01-13,1468.0,1427.0,1468.0,1432.0,440828,1432.0,1387.0,1389.0,,,1331.0
2022-01-14,1443.0,1394.0,1424.0,1403.0,155022,1403.0,1387.0,1389.0,1366.75,,1336.0
2022-01-17,1431.0,1384.0,1431.0,1410.0,96938,1410.0,1387.0,1389.0,1366.0,,1345.0
2022-01-18,1409.0,1370.0,1370.0,1402.0,147247,1402.0,1387.0,1389.0,1365.25,,1321.0
2022-01-19,1436.0,1389.0,1425.0,1427.0,444197,1427.0,1387.0,1389.0,1365.5,,1249.0
2022-01-20,1445.0,1423.0,1430.0,1440.0,166284,1440.0,1387.0,1389.0,1365.5,,1297.0
2022-01-21,1436.0,1411.0,1411.0,1425.0,173796,1425.0,1387.5,1389.0,1372.375,,1273.0
2022-01-24,1433.0,1373.0,1394.0,1378.0,259534,1378.0,1407.0,1389.0,1372.375,,1222.0
2022-01-25,1414.0,1369.0,1395.0,1382.0,156588,1382.0,1418.5,1389.0,1372.375,,1234.0
2022-01-26,1400.0,1358.0,1385.0,1358.0,279483,1358.0,1401.5,1389.0,1373.375,,1186.0
2022-01-27,1372.0,1332.0,1332.0,1365.0,764120,1365.0,1388.5,1389.0,1373.375,,1116.0
2022-01-28,1367.593994140625,1323.0,1352.0,1339.0,445376,1339.0,1384.0,1389.0,1373.375,,1069.0
2022-01-31,1375.0,1328.0,1375.0,1343.0,212844,1343.0,1384.0,1389.0,1376.875,,1051.0
2022-02-01,1366.0,1340.0,1340.0,1361.0,1006493,1361.0,1384.0,1389.0,1380.625,,1140.0
2022-02-02,1397.0,1376.0,1397.0,1384.0,103875,1384.0,1379.5,1389.0,1382.875,,1183.0
2022-02-03,1422.0,1364.0,1422.0,1364.0,103660,1364.0,1378.0,1389.0,1382.875,,1174.0
2022-02-04,1400.0,1337.0,1379.0,1349.0,245506,1349.0,1372.5,1387.0,1393.875,,1219.0
2022-02-07,1367.0,1335.0,1335.0,1361.0,230756,1361.0,1372.5,1387.0,1398.375,,1179.0
2022-02-08,1392.0,1342.0,1392.0,1342.0,107985,1342.0,1372.5,1387.0,1398.375,,1219.0
2022-02-09,1375.0,1355.0,1358.0,1364.0,235594,1364.0,1372.5,1387.0,1398.375,,1223.0
2022-02-10,1372.699951171875,1342.0,1342.0,1370.0,966866,1370.0,1375.0,1387.0,1398.375,,1229.0
2022-02-11,1371.0,1356.0,1356.0,1369.0,147970,1369.0,1378.5,1387.0,1398.375,,1179.0
