Date,High,Low,Open,Close,Volume,Adj Close
2021-11-01,270.5,255.5,267.0,269.0,156393,269.0
2021-11-02,275.0,267.0,269.5,273.5,675408,273.5
2021-11-03,272.5,265.5,265.5,269.5,247485,269.5
2021-11-04,273.5,256.5,266.5,272.0,4200703,272.0
2021-11-05,272.5450134277344,264.0,270.5,271.5,341916,271.5
2021-11-08,290.0799865722656,274.0,283.0,287.5,2090850,287.5
2021-11-09,289.0,271.5,289.0,271.5,298462,271.5
2021-11-10,279.0,271.0,277.5,273.5,411944,273.5
2021-11-11,251.0,240.0,245.0,245.0,43978325,245.0
2021-11-12,250.0,243.0,243.0,247.5,756197,247.5
2021-11-15,250.5,245.5,250.0,247.0,748838,247.0
2021-11-16,250.1750030517578,246.0,250.0,248.0,477853,248.0
2021-11-17,250.5,243.5,246.0,246.5,3292325,246.5
2021-11-18,249.5,246.5,248.0,247.5,351507,247.5
2021-11-19,249.6300048828125,239.0,249.0,245.0,455259,245.0
2021-11-22,250.0,244.5,244.5,244.5,424764,244.5
2021-11-23,244.0,237.0,240.5,238.0,291122,238.0
2021-11-24,243.5,228.0,243.5,233.5,566973,233.5
2021-11-25,234.0,224.5,232.0,224.5,294371,224.5
2021-11-26,224.5,216.0,220.5,220.0,688762,220.0
2021-11-29,226.5,217.5,223.0,222.5,824096,222.5
2021-11-30,222.5,216.5,219.0,220.0,493181,220.0
2021-12-01,230.7570037841797,221.0,225.5,230.5,853140,230.5
2021-12-02,230.5,224.5,227.5,228.5,1003090,228.5
2021-12-03,234.0,227.5,230.0,231.0,574067,231.0
2021-12-06,239.0,230.89999389648438,233.0,235.5,381226,235.5
2021-12-07,243.0,232.5,232.5,239.0,330872,239.0
2021-12-08,249.5,242.0,246.5,249.0,696143,249.0
2021-12-09,251.52499389648438,241.0,250.5,244.0,491802,244.0
2021-12-10,251.0,240.5,251.0,242.5,549552,242.5
2021-12-13,246.0,239.0,244.5,240.5,604248,240.5
2021-12-14,245.0,234.5,245.0,236.5,2376501,236.5
2021-12-15,236.0,232.5,232.5,234.5,4100221,234.5
2021-12-16,243.0,237.00799560546875,240.0,240.5,545910,240.5
2021-12-17,244.0,236.5,244.0,237.0,4606173,237.0
2021-12-20,236.5,231.5,231.5,232.0,384323,232.0
2021-12-21,237.0,230.5,234.0,235.5,1419092,235.5
2021-12-22,240.0,228.5,228.5,240.0,376164,240.0
2021-12-23,246.5,235.76400756835938,239.5,244.0,455896,244.0
2021-12-24,249.5,242.0,246.5,242.0,131962,242.0
2021-12-29,249.0,243.98399353027344,246.0,248.5,432988,248.5
