Date,High,Low,Open,Close,Volume,Adj Close
2021-11-01,511.0,489.60400390625,506.5,494.20001220703125,2848652.0,494.20001220703125
2021-11-08,518.5,484.6000061035156,493.79998779296875,500.5,10095477.0,500.5
2021-11-15,520.5,487.79998779296875,505.5,508.0,7214438.0,508.0
2021-11-22,518.5,495.3999938964844,510.0,495.79998779296875,3560167.0,495.79998779296875
2021-11-29,514.0,491.6000061035156,502.5,513.0,4925841.0,513.0
2021-12-06,530.0,500.5,515.0,519.0,6242101.0,519.0
2021-12-13,535.5,513.5,531.5,515.0,3943134.0,515.0
2021-12-20,546.5,487.6940002441406,504.5,545.5,3615394.0,545.5
2021-12-27,556.0,545.5,545.5,554.5,736393.0,554.5
2022-01-03,565.0,540.5,554.5,550.0,5281065.0,550.0
2022-01-10,570.0,544.5,550.5,570.0,5300063.0,570.0
2022-01-17,588.510009765625,553.5,555.5,558.5,5589071.0,558.5
2022-01-24,570.5,537.0,558.5,557.0,5147372.0,557.0
2022-01-31,573.0,540.5,563.0,546.0,3693927.0,546.0
2022-02-07,576.5,542.0,542.0,575.5,3592934.0,575.5
2022-02-14,570.0,526.5,570.0,527.0,3784594.0,527.0
2022-02-21,531.0,479.4590148925781,527.5,506.0,5520440.0,506.0
2022-02-28,504.5,445.20001220703125,500.0,445.20001220703125,4469838.0,445.20001220703125
2022-03-07,463.6000061035156,407.0,445.20001220703125,454.79998779296875,7563418.0,454.79998779296875
2022-03-14,573.5,453.79998779296875,454.79998779296875,567.5,12742536.0,567.5
2022-03-21,592.0,536.5,583.5,565.5,5534671.0,565.5
2022-03-27,580.5,559.5,580.5,568.0,5238885.0,568.0
2022-04-03,593.5,563.5,579.0,590.0,6183520.0,590.0
2022-04-10,600.0,576.0,589.5,584.0,11118141.0,584.0
2022-04-17,608.5,568.5,584.0,572.0,4391477.0,572.0
2022-04-24,575.5,551.0,567.0,561.5,7592224.0,561.5
2022-05-01,573.0,534.4990234375,560.0,539.0,6455631.0,539.0
2022-05-08,543.2470092773438,479.6000061035156,540.0,502.5,7965259.0,502.5
2022-05-15,526.5,496.75799560546875,499.20001220703125,511.0,10011145.0,511.0
2022-05-22,529.5,508.5,518.0,528.5,4017176.0,528.5
2022-05-29,534.5,510.0,534.5,512.0,2677915.0,512.0
2022-06-05,525.0,486.0,516.5,487.79998779296875,4346678.0,487.79998779296875
2022-06-12,508.0,474.3999938964844,484.20001220703125,484.79998779296875,9041760.0,484.79998779296875
2022-06-19,499.6000061035156,479.20001220703125,488.3999938964844,493.79998779296875,5482721.0,493.79998779296875
2022-06-26,501.0,471.79998779296875,487.6000061035156,478.20001220703125,5817841.0,478.20001220703125
2022-07-03,489.79998779296875,461.79998779296875,485.0,479.20001220703125,5928963.0,479.20001220703125
2022-07-10,497.20001220703125,474.6000061035156,488.0,488.79998779296875,3498912.0,488.79998779296875
2022-07-17,511.5,490.79998779296875,503.5,507.0,5125123.0,507.0
2022-07-24,515.5,495.79998779296875,495.79998779296875,510.0,5429685.0,510.0
2022-07-31,536.5,519.0,530.0,528.0,5018739.0,528.0
2022-08-07,589.5,525.0,526.0,587.5,4963384.0,587.5
2022-08-14,599.0,560.0,599.0,569.0,3198716.0,569.0
2022-08-21,573.5,541.5,556.5,543.0,4019092.0,543.0
2022-08-28,563.0,525.5,543.0,544.0,4867402.0,544.0
2022-09-04,548.5,528.5,546.0,545.5,4510536.0,545.5
2022-09-11,561.0,519.0,548.0,519.0,9567411.0,519.0
2022-09-18,540.0,486.20001220703125,519.0,491.79998779296875,14555940.0,491.79998779296875
2022-09-25,497.79998779296875,404.20001220703125,497.79998779296875,420.3999938964844,15803147.0,420.3999938964844
2022-10-02,446.20001220703125,412.0,416.6000061035156,430.3999938964844,11493147.0,430.3999938964844
2022-10-09,431.6000061035156,366.79998779296875,431.6000061035156,391.3999938964844,20535279.0,391.3999938964844
2022-10-16,416.3999938964844,372.20001220703125,398.3999938964844,393.0,10525396.0,393.0
2022-10-23,415.6000061035156,382.6000061035156,382.6000061035156,400.3999938964844,10127250.0,400.3999938964844
2022-10-31,418.20001220703125,398.20001220703125,403.3999938964844,414.79998779296875,1842490.0,414.79998779296875
