Date,Symbol,Name,Direction,Count
2022-11-14,EXPN.L,Experian,-1.0,1.0
2022-11-14,FCIT.L,Foreign & Colonial Investment Trust,-1.0,1.0
2022-11-14,SMIN.L,Smiths Group,-1.0,1.0
2022-11-14,FRES.L,Fresnillo plc,-1.0,1.0
2022-11-14,GLEN.L,Glencore,-1.0,1.0
2022-11-14,SHEL.L,Shell plc,-1.0,1.0
2022-11-14,HSV.L,HomeServe,-1.0,1.0
2022-11-14,CRH.L,CRH plc,-1.0,1.0
2022-11-14,CPG.L,Compass Group,-1.0,1.0
2022-11-14,CCH.L,Coca-Cola HBC,-1.0,1.0
2022-11-14,CNA.L,Centrica,-1.0,1.0
2022-11-14,BRBY.L,Burberry,-1.0,1.0
2022-11-14,BNZL.L,Bunzl,-1.0,1.0
2022-11-14,IMB.L,Imperial Brands,-1.0,1.0
2022-11-14,FLTR.L,Flutter Entertainment,-1.0,1.0
2022-11-14,BATS.L,British American Tobacco,-1.0,1.0
2022-11-14,FRAS.L,Frasers Group,-1.0,1.0
2022-11-14,STAN.L,Standard Chartered,-1.0,1.0
2022-11-14,PSH.L,Pershing Square Holdings,-1.0,1.0
2022-11-14,PSON.L,Pearson plc,-1.0,1.0
2022-11-14,BP.L,BP,-1.0,1.0
2022-11-14,LSEG.L,London Stock Exchange Group,-1.0,1.0
2022-11-14,AVV.L,Aveva,-1.0,1.0
2022-11-14,RTO.L,Rentokil Initial,-1.0,1.0
2022-11-14,BA.L,BAE Systems,-1.0,1.0
2022-11-14,RS1.L,RS Group plc,-1.0,1.0
2022-11-14,SGE.L,Sage Group,-1.0,1.0
2022-11-14,ULVR.L,Unilever,-1.0,1.0
2022-11-07,AHT.L,Ashtead Group,1.0,2.0
2022-11-14,INF.L,Informa,-1.0,5.0
2022-11-14,NWG.L,NatWest Group,-1.0,6.0
2022-11-14,RKT.L,Reckitt,-1.0,6.0
2022-11-14,REL.L,RELX,-1.0,7.0
2022-11-14,DGE.L,Diageo,-1.0,7.0
2022-11-07,AAF.L,Airtel Africa,-1.0,7.0
2022-11-14,LGEN.L,Legal & General,-1.0,8.0
2022-11-14,HSBA.L,HSBC,-1.0,8.0
2022-11-14,PHNX.L,Phoenix Group,-1.0,8.0
2022-11-14,CTEC.L,Convatec,-1.0,8.0
2022-11-14,SSE.L,SSE plc,-1.0,8.0
2022-11-14,NXT.L,Next plc,-1.0,9.0
2022-11-14,LLOY.L,Lloyds Banking Group,-1.0,9.0
2022-11-07,UTG.L,Unite Group,-1.0,9.0
2022-11-14,MNDI.L,Mondi,-1.0,9.0
2022-11-14,MNG.L,M&G,-1.0,10.0
2022-11-14,BT-A.L,BT Group,-1.0,14.0
2022-11-14,VOD.L,Vodafone Group,-1.0,15.0
2022-11-14,GSK.L,GSK plc,-1.0,15.0
2022-11-07,ABF.L,Associated British Foods,-1.0,17.0
2022-11-14,EDV.L,Endeavour Mining,-1.0,18.0
2022-11-14,MRO.L,Melrose Industries,-1.0,19.0
2022-11-14,HBR.L,Harbour Energy,-1.0,20.0
