Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
AAPL,Apple,1,1,above chikou,1,3,above chikou,1,52,above chikou,1,276,above chikou,332
AMGN,Amgen,-1,-21,below chikou,0,68,above chikou,1,48,above chikou,1,178,above chikou,273
AMZN,Amazon,-1,-14,below chikou,-1,-3,below chikou,1,23,above chikou,1,31,above chikou,37
AXP,American Express,-1,-15,below chikou,-1,-7,below chikou,1,2,above chikou,1,34,above chikou,14
BA,Boeing,-1,-5,below chikou,-1,-8,below chikou,0,-10,below chikou,1,6,above chikou,-17
CAT,Caterpillar,-1,-1,below chikou,-1,-40,below chikou,1,64,above chikou,1,73,above chikou,96
CRM,Salesforce,-1,-21,below chikou,1,33,above chikou,1,4,above chikou,0,2,above chikou,18
CSCO,Cisco,-1,-7,below chikou,-1,-19,below chikou,1,108,above chikou,1,27,above chikou,109
CVX,Chevron,1,14,above chikou,1,36,above chikou,1,49,above chikou,1,14,above chikou,113
DIS,Disney,1,1,above chikou,1,26,above chikou,1,4,above chikou,1,2,above chikou,33
GOOGL,Alphabet (Class A),-1,-14,below chikou,-1,-3,below chikou,1,57,above chikou,1,31,above chikou,71
GS,Goldman Sachs,-1,-7,below chikou,-1,-1,below chikou,1,73,above chikou,1,32,above chikou,97
HD,Home Depot,-1,-71,below chikou,-1,-7,below chikou,-1,-9,below chikou,-1,-6,below chikou,-93
HON,Honeywell Technologies,-1,-8,below chikou,-1,-15,below chikou,-1,-5,below chikou,0,29,above chikou,1
IBM,IBM,0,-3,below chikou,1,16,above chikou,-1,-26,below chikou,1,69,above chikou,56
JNJ,Johnson & Johnson,-1,-20,below chikou,1,18,above chikou,1,68,above chikou,1,17,above chikou,83
JPM,JPMorgan Chase,-1,-16,below chikou,-1,-1,below chikou,1,14,above chikou,1,34,above chikou,31
KO,Coca-Cola,-1,-14,below chikou,1,67,above chikou,1,43,above chikou,1,194,above chikou,290
MCD,McDonald's,-1,-36,below chikou,-1,-7,below chikou,-1,-21,below chikou,0,265,above chikou,201
MMM,3M,-1,-70,below chikou,-1,-7,below chikou,1,8,above chikou,1,27,above chikou,-42
MRK,Merck,-1,-20,below chikou,1,76,above chikou,1,50,above chikou,1,4,above chikou,110
MSFT,Microsoft,-1,-28,below chikou,0,32,above chikou,1,6,above chikou,1,3,above chikou,13
NKE,Nike,-1,-15,below chikou,-1,-23,below chikou,-1,-37,below chikou,-1,-49,below chikou,-124
NVDA,Nvidia,-1,-14,below chikou,1,28,above chikou,1,22,above chikou,1,156,above chikou,192
PG,Procter & Gamble,-1,-22,below chikou,-1,-2,below chikou,-1,-7,below chikou,-1,-5,below chikou,-36
SHW,Sherwin-Williams,-1,-70,below chikou,-1,-6,below chikou,0,-4,below chikou,0,4,above chikou,-76
TRV,Travelers,-1,-12,below chikou,-1,-9,below chikou,1,146,above chikou,1,71,above chikou,196
UNH,UnitedHealth Group,-1,-14,below chikou,-1,-27,below chikou,1,19,above chikou,-1,-18,below chikou,-40
V,Visa,-1,-56,below chikou,0,61,above chikou,1,11,above chikou,1,35,above chikou,51
WMT,Walmart,-1,-21,below chikou,-1,-15,below chikou,-1,-9,below chikou,1,111,above chikou,66
