Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
AAF.L,Airtel Africa,-1,-3,below chikou,-1,-5,below chikou,-1,-12,below chikou,1,21,above chikou,1
AAL.L,Anglo American plc,-1,-8,below chikou,1,4,above chikou,1,55,above chikou,1,13,above chikou,64
ABDN.L,Aberdeen Group,-1,-9,below chikou,-1,-1,below chikou,1,21,above chikou,1,11,above chikou,22
ABF.L,Associated British Foods,0,19,above chikou,-1,-14,below chikou,0,11,above chikou,-1,-9,below chikou,7
ADM.L,Admiral Group,-1,-44,below chikou,-1,-3,below chikou,1,20,above chikou,1,28,above chikou,1
ALW.L,Alliance Witan,1,54,above chikou,1,1,above chikou,1,24,above chikou,1,77,above chikou,156
ANTO.L,Antofagasta plc,-1,-8,below chikou,1,3,above chikou,1,1,above chikou,1,34,above chikou,30
AUTO.L,Autotrader Group,-1,-21,below chikou,-1,-15,below chikou,0,7,above chikou,-1,-10,below chikou,-39
AV.L,Aviva,-1,-27,below chikou,-1,-2,below chikou,1,10,above chikou,1,35,above chikou,16
AZN.L,AstraZeneca,-1,-9,below chikou,1,8,above chikou,-1,-12,below chikou,0,-2,below chikou,-15
BA.L,BAE Systems,-1,-27,below chikou,-1,-16,below chikou,-1,-5,below chikou,1,65,above chikou,17
BAB.L,Babcock International,0,4,above chikou,-1,-19,below chikou,-1,-23,below chikou,1,47,above chikou,9
BARC.L,Barclays,-1,-43,below chikou,-1,-27,below chikou,0,136,above chikou,1,29,above chikou,95
BATS.L,British American Tobacco,1,11,above chikou,1,1,above chikou,0,-7,below chikou,1,18,above chikou,23
BBOX.L,Tritax Big Box REIT,0,-2,below chikou,-1,-28,below chikou,0,-6,below chikou,-1,-1,below chikou,-37
BEZ.L,Beazley,0,96,above chikou,1,105,above chikou,1,36,above chikou,1,52,above chikou,289
BGEO.L,Lion Finance Group,1,16,above chikou,1,40,above chikou,1,97,above chikou,1,52,above chikou,205
BLND.L,British Land,-1,-24,below chikou,-1,-23,below chikou,1,16,above chikou,0,5,above chikou,-26
BNZL.L,Bunzl,1,56,above chikou,-1,-17,below chikou,1,21,above chikou,-1,-18,below chikou,42
BP.L,BP,1,10,above chikou,1,17,above chikou,0,51,above chikou,1,3,above chikou,81
BRBY.L,Burberry Group,1,49,above chikou,-1,-15,below chikou,0,-36,below chikou,1,2,above chikou,0
BTRW.L,Barratt Redrow,0,9,above chikou,-1,-12,below chikou,1,2,above chikou,-1,-15,below chikou,-16
CCC.L,Computacenter,-1,-9,below chikou,1,53,above chikou,1,74,above chikou,1,22,above chikou,140
CCEP.L,Coca-Cola Europacific Partners,1,20,above chikou,-1,-16,below chikou,1,16,above chikou,1,57,above chikou,77
CCH.L,Coca-Cola HBC,1,16,above chikou,-1,-33,below chikou,1,1,above chikou,1,30,above chikou,14
CNA.L,Centrica,-1,-1,below chikou,-1,-98,below chikou,-1,-11,below chikou,0,53,above chikou,-57
CPG.L,Compass Group,-1,-53,below chikou,-1,-16,below chikou,1,18,above chikou,0,53,above chikou,2
CRDA.L,Croda International,0,36,above chikou,1,1,above chikou,1,19,above chikou,-1,-40,below chikou,16
CTEC.L,Convatec,-1,-8,below chikou,-1,-14,below chikou,-1,-4,below chikou,-1,-7,below chikou,-33
DCC.L,DCC Energy,-1,-1,below chikou,1,6,above chikou,1,25,above chikou,1,5,above chikou,35
DGE.L,Diageo,0,27,above chikou,-1,-14,below chikou,1,4,above chikou,-1,-38,below chikou,-21
DPLM.L,Diploma,1,69,above chikou,1,3,above chikou,1,28,above chikou,1,35,above chikou,135
EDV.L,Endeavour Mining,-1,-12,below chikou,1,36,above chikou,1,1,above chikou,1,18,above chikou,43
EXPN.L,Experian,-1,-56,below chikou,-1,-14,below chikou,0,8,above chikou,-1,-8,below chikou,-70
EZJ.L,EasyJet,0,59,above chikou,0,-6,below chikou,1,16,above chikou,1,3,above chikou,72
FCIT.L,F & C Investment Trust,-1,-2,below chikou,0,3,above chikou,1,57,above chikou,1,34,above chikou,92
FRES.L,Fresnillo plc,-1,-18,below chikou,-1,-1,below chikou,-1,-14,below chikou,1,18,above chikou,-15
GAW.L,Games Workshop,-1,-8,below chikou,-1,-45,below chikou,0,15,above chikou,1,30,above chikou,-8
GLEN.L,Glencore,1,2,above chikou,0,-5,below chikou,1,53,above chikou,1,9,above chikou,59
GSK.L,GSK plc,-1,-8,below chikou,0,4,above chikou,-1,-7,below chikou,1,14,above chikou,3
HLMA.L,Halma plc,-1,-6,below chikou,-1,-10,below chikou,-1,-6,below chikou,1,28,above chikou,6
HLN.L,Haleon,1,45,above chikou,-1,-16,below chikou,-1,-9,below chikou,0,25,above chikou,45
HSBA.L,HSBC,-1,-10,below chikou,-1,-8,below chikou,1,127,above chikou,1,53,above chikou,162
HSX.L,Hiscox,-1,-21,below chikou,1,19,above chikou,1,79,above chikou,1,17,above chikou,94
HWDN.L,Howdens Joinery,-1,-1,below chikou,-1,-15,below chikou,0,-12,below chikou,-1,-5,below chikou,-33
IAG.L,International Airlines Group,0,55,above chikou,0,-18,below chikou,1,4,above chikou,1,31,above chikou,72
ICG.L,ICG,-1,-8,below chikou,-1,-11,below chikou,1,8,above chikou,-1,-7,below chikou,-18
IGG.L,IG Group,-1,-12,below chikou,-1,-2,below chikou,-1,-1,below chikou,1,27,above chikou,12
IHG.L,IHG Hotels & Resorts,1,27,above chikou,-1,-14,below chikou,1,54,above chikou,1,54,above chikou,121
III.L,3i,-1,-16,below chikou,-1,-15,below chikou,0,-46,below chikou,-1,-5,below chikou,-82
IMB.L,Imperial Brands,0,-55,below chikou,-1,-38,below chikou,-1,-24,below chikou,1,53,above chikou,-64
IMI.L,IMI,0,61,above chikou,1,3,above chikou,1,74,above chikou,1,31,above chikou,169
INF.L,Informa,-1,-2,below chikou,-1,-12,below chikou,1,14,above chikou,0,52,above chikou,52
INVP.L,Investec,-1,-10,below chikou,-1,-11,below chikou,1,26,above chikou,0,16,above chikou,21
ITH.L,Ithaca Energy,1,8,above chikou,1,41,above chikou,1,39,above chikou,1,15,above chikou,103
ITRK.L,Intertek,0,-6,below chikou,0,115,above chikou,1,20,above chikou,1,6,above chikou,135
JD.L,JD Sports,0,26,above chikou,-1,-18,below chikou,1,18,above chikou,-1,-21,below chikou,5
KGF.L,Kingfisher plc,0,72,above chikou,1,3,above chikou,1,1,above chikou,1,27,above chikou,103
LAND.L,Land Securities,-1,-34,below chikou,-1,-23,below chikou,1,19,above chikou,0,3,above chikou,-35
LGEN.L,Legal & General,-1,-10,below chikou,-1,-25,below chikou,1,40,above chikou,1,15,above chikou,20
LLOY.L,Lloyds Banking Group,-1,-37,below chikou,-1,-20,below chikou,1,87,above chikou,1,29,above chikou,59
LMP.L,LondonMetric Property,-1,-8,below chikou,-1,-20,below chikou,0,-10,below chikou,-1,-4,below chikou,-42
LSEG.L,London Stock Exchange Group,-1,-9,below chikou,-1,-10,below chikou,0,-3,below chikou,-1,-4,below chikou,-26
