Date,Symbol,Name,1D Chikou Direction,1D Chikou Count,1D Chikou State
2026-09-10,AML.L,Aston Martin Lagonda,0,-71,below chikou
2026-09-10,ITV.L,ITV,-1,-47,below chikou
2026-09-10,RPI.L,Raspberry Pi Holdings,-1,-45,below chikou
2026-09-10,JSG.L,Johnson Service Group,-1,-44,below chikou
2026-09-10,PLUS.L,Plus500,-1,-43,below chikou
2026-09-10,OXB.L,Oxford Biomedica,-1,-35,below chikou
2026-09-10,MGNS.L,Morgan Sindall Group,-1,-34,below chikou
2026-09-10,PPET.L,Patria Private Equity Trust,-1,-32,below chikou
2026-09-10,CWK.L,Cranswick,-1,-30,below chikou
2026-09-10,SUPR.L,Supermarket Income REIT,-1,-29,below chikou
2026-09-10,BAG.L,A.G. Barr,0,-27,below chikou
2026-09-10,TCAP.L,TP ICAP,-1,-25,below chikou
2026-09-10,OSB.L,OSB Group,-1,-25,below chikou
2026-09-10,SHAW.L,Shawbrook Bank,-1,-24,below chikou
2026-09-10,IWG.L,International Workplace Group,-1,-23,below chikou
2026-09-10,QLT.L,Quilter,-1,-22,below chikou
2026-09-10,BOWL.L,Hollywood Bowl Group,-1,-21,below chikou
2026-09-10,UEM.L,Utilico Emerging Markets,-1,-21,below chikou
2026-09-10,KLR.L,Keller Group,-1,-20,below chikou
2026-09-10,GBG.L,GB Group,-1,-19,below chikou
2026-09-10,JMAT.L,Johnson Matthey,-1,-18,below chikou
2026-09-10,TRY.L,TR Property Investment Trust,-1,-18,below chikou
2026-09-10,SEIT.L,SDCL Efficiency Income Trust,-1,-18,below chikou
2026-09-10,UTG.L,Unite Group,-1,-17,below chikou
2026-09-10,CURY.L,Currys,-1,-17,below chikou
2026-09-10,OXIG.L,Oxford Instruments,0,-16,below chikou
2026-09-10,APN.L,Applied Nutrition,-1,-16,below chikou
2026-09-10,WOSG.L,Watches of Switzerland,-1,-16,below chikou
2026-09-10,TRN.L,Trainline,-1,-16,below chikou
2026-09-10,XPS.L,XPS Pensions,-1,-15,below chikou
2026-09-10,HTG.L,Hunting,-1,-14,below chikou
2026-09-10,BCG.L,Baltic Classifieds,-1,-12,below chikou
2026-09-10,PRN.L,Princes Group,-1,-11,below chikou
2026-09-10,INPP.L,International Public Partnerships,-1,-11,below chikou
2026-09-10,THRL.L,Target Healthcare REIT,-1,-11,below chikou
2026-09-10,PAG.L,Paragon Banking Group,-1,-11,below chikou
2026-09-10,SAFE.L,Safestore,-1,-10,below chikou
2026-09-10,ZIG.L,Zigup,-1,-10,below chikou
2026-09-10,CHG.L,Chemring Group,-1,-10,below chikou
2026-09-10,PPH.L,PPHE Hotel Group,0,-10,below chikou
2026-09-10,CBG.L,Close Brothers Group,-1,-10,below chikou
2026-09-10,GFRD.L,Galliford Try,-1,-9,below chikou
2026-09-10,GPE.L,Great Portland Estates,-1,-9,below chikou
2026-09-10,GRI.L,Grainger,-1,-9,below chikou
2026-09-10,SMWH.L,WHSmith,-1,-8,below chikou
2026-09-10,SRE.L,Sirius Real Estate,-1,-8,below chikou
2026-09-10,ROR.L,Rotork,0,-8,below chikou
2026-09-10,BYG.L,Big Yellow Group,-1,-8,below chikou
2026-09-10,HRI.L,Herald Investment Trust,-1,-8,below chikou
2026-09-10,FGP.L,FirstGroup,-1,-8,below chikou
2026-09-10,MUT.L,Murray Income Trust,-1,-7,below chikou
2026-09-10,NAS.L,North Atlantic Smaller Companies Investment Trust,-1,-7,below chikou
2026-09-10,LWDB.L,Law Debenture,-1,-7,below chikou
2026-09-10,NCC.L,NCC Group,-1,-7,below chikou
2026-09-10,GEN.L,Genuit Group,-1,-7,below chikou
2026-09-10,HTWS.L,Helios Towers,0,-7,below chikou
2026-09-10,AO.L,AO World,-1,-7,below chikou
2026-09-10,BPT.L,Bridgepoint Group,-1,-7,below chikou
2026-09-10,DLN.L,Derwent London,-1,-7,below chikou
2026-09-10,DNLM.L,Dunelm Group,-1,-7,below chikou
2026-09-10,ATG.L,Auction Technology Group,-1,-7,below chikou
2026-09-10,BRSC.L,BlackRock Smaller Companies Trust,-1,-7,below chikou
2026-09-10,POLN.L,Pollen Street Group,-1,-7,below chikou
2026-09-10,SEQI.L,Sequoia Economic Infrastructure Income Fund,-1,-7,below chikou
2026-09-10,TRIG.L,The Renewables Infrastructure Group,0,-7,below chikou
2026-09-10,TEP.L,Telecom Plus,-1,-7,below chikou
2026-09-10,WIX.L,Wickes,-1,-7,below chikou
2026-09-10,PHP.L,Primary Health Properties,-1,-7,below chikou
2026-09-10,N91.L,Ninety One,0,-7,below chikou
2026-09-10,PNN.L,Pennon Group,-1,-7,below chikou
2026-09-10,SAGA.L,Saga,-1,-7,below chikou
2026-09-10,QQ.L,Qinetiq,-1,-6,below chikou
2026-09-10,HVPE.L,HarbourVest Global Private Equity,-1,-6,below chikou
2026-09-10,EWG.L,Eurowag,-1,-6,below chikou
2026-09-10,DOCS.L,Dr. Martens,-1,-6,below chikou
2026-09-10,BPCR.L,Biopharma Credit,0,-6,below chikou
2026-09-10,VTY.L,Vistry Group,-1,-6,below chikou
2026-09-10,RAT.L,Rathbones,-1,-6,below chikou
2026-09-10,COA.L,Coats Group,-1,-5,below chikou
2026-09-10,ALFA.L,Alfa Financial Software,-1,-5,below chikou
2026-09-10,FRAS.L,Frasers Group,-1,-5,below chikou
2026-09-10,SSPG.L,SSP Group,-1,-5,below chikou
2026-09-10,MONY.L,MONY Group,-1,-5,below chikou
2026-09-10,MOON.L,Moonpig,-1,-5,below chikou
2026-09-10,BMY.L,Bloomsbury Publishing,0,-5,below chikou
2026-09-10,DATA.L,GlobalData,-1,-5,below chikou
2026-09-10,FCSS.L,Fidelity China Special Situations,-1,-5,below chikou
2026-09-10,CTY.L,City of London Investment Trust,-1,-5,below chikou
2026-09-10,HIK.L,Hikma Pharmaceuticals,-1,-5,below chikou
2026-09-10,TMPL.L,Temple Bar Investment Trust,-1,-4,below chikou
2026-09-10,HMSO.L,Hammerson,-1,-4,below chikou
2026-09-10,FGT.L,Finsbury Growth & Income Trust,-1,-4,below chikou
2026-09-10,GRG.L,Greggs,-1,-4,below chikou
2026-09-10,EMG.L,Man Group,0,-4,below chikou
2026-09-10,RCP.L,RIT Capital Partners,-1,-4,below chikou
2026-09-10,MNDI.L,Mondi,-1,-4,below chikou
2026-09-10,FCH.L,Funding Circle,-1,-3,below chikou
2026-09-10,BYIT.L,Bytes Technology Group,-1,-3,below chikou
2026-09-10,BKG.L,Berkeley Group Holdings,-1,-3,below chikou
2026-09-10,INCH.L,Inchcape,-1,-3,below chikou
2026-09-10,WIZZ.L,Wizz Air,-1,-3,below chikou
2026-09-10,GDWN.L,Goodwin,-1,-3,below chikou
2026-09-10,RNK.L,Rank Group,-1,-3,below chikou
2026-09-10,OCDO.L,Ocado Group,-1,-3,below chikou
2026-09-10,SCT.L,Softcat,-1,-3,below chikou
2026-09-10,TRST.L,Trustpilot,-1,-3,below chikou
2026-09-10,MAB.L,Mitchells & Butlers,-1,-3,below chikou
2026-09-10,PETS.L,Pets at Home,-1,-3,below chikou
2026-09-10,JGGI.L,JPMorgan Global Growth & Income,-1,-3,below chikou
2026-09-10,GNC.L,Greencore,-1,-3,below chikou
2026-09-10,PIN.L,Pantheon International,-1,-2,below chikou
2026-09-10,MRC.L,Mercantile Investment Trust,-1,-2,below chikou
2026-09-10,NAIT.L,North American Income Trust,-1,-2,below chikou
2026-09-10,PCGH.L,Polar Capital Global Healthcare Trust,-1,-2,below chikou
2026-09-10,NBPE.L,NB Private Equity Partners,-1,-2,below chikou
2026-09-10,MYI.L,Murray International Trust,-1,-2,below chikou
2026-09-10,FEV.L,Fidelity European Trust,-1,-2,below chikou
2026-09-10,FSV.L,Fidelity Special Values,-1,-2,below chikou
2026-09-10,UKW.L,Greencoat UK Wind,-1,-2,below chikou
2026-09-10,ELM.L,Elementis,-1,-2,below chikou
2026-09-10,EDIN.L,Edinburgh Investment Trust,-1,-2,below chikou
2026-09-10,BREE.L,Breedon Group,-1,-2,below chikou
2026-09-10,BRGE.L,BlackRock Greater Europe Investment Trust,-1,-2,below chikou
2026-09-10,JCH.L,JPMorgan Claverhouse Investment Trust,-1,-2,below chikou
2026-09-10,JEGI.L,JPMorgan European Growth & Income,-1,-2,below chikou
2026-09-10,HICL.L,HICL Infrastructure Company,-1,-2,below chikou
2026-09-10,JAM.L,JPMorgan American Investment Trust,-1,-2,below chikou
2026-09-10,SAIN.L,Scottish American Investment Company,-1,-2,below chikou
2026-09-10,SHC.L,Shaftesbury Capital,-1,-2,below chikou
2026-09-10,MRCH.L,Merchants Trust,-1,-2,below chikou
2026-09-10,RTW.L,RTW Biotech Opportunities,-1,-2,below chikou
2026-09-10,AJB.L,AJ Bell,-1,-1,below chikou
2026-09-10,TPK.L,Travis Perkins,-1,-1,below chikou
2026-09-10,PNL.L,Personal Assets Trust,-1,-1,below chikou
2026-09-10,RSW.L,Renishaw,-1,-1,below chikou
2026-09-10,ROSE.L,Rosebank Industries,-1,-1,below chikou
2026-09-10,RMV.L,Rightmove,-1,-1,below chikou
2026-09-10,TW.L,Taylor Wimpey,-1,-1,below chikou
2026-09-10,THG.L,THG,-1,-1,below chikou
2026-09-10,JDW.L,Wetherspoons,-1,-1,below chikou
2026-09-10,MNKS.L,Monks Investment Trust,-1,-1,below chikou
2026-09-10,AIE.L,Ashoka India Equity Investment Trust,-1,-1,below chikou
2026-09-10,BWY.L,Bellway,-1,-1,below chikou
2026-09-10,BBY.L,Balfour Beatty,-1,-1,below chikou
2026-09-10,HILS.L,Hill & Smith,-1,-1,below chikou
2026-09-10,CKN.L,Clarkson,-1,-1,below chikou
2026-09-10,BNKR.L,Bankers Investment Trust,-1,-1,below chikou
2026-09-10,GFTU.L,Grafton Group,-1,-1,below chikou
2026-09-10,ESCT.L,European Smaller Companies Trust,-1,-1,below chikou
2026-09-10,FSG.L,Foresight Group,-1,-1,below chikou
2026-09-10,GNS.L,Genus,-1,-1,below chikou
2026-09-10,GSCT.L,Global Smaller Companies Trust,-1,-1,below chikou
2026-09-10,BME.L,B&M,-1,-1,below chikou
2026-09-10,ICGT.L,ICG Enterprise Trust,-1,-1,below chikou
2026-09-10,JEDT.L,JPMorgan European Discovery,-1,-1,below chikou
2026-09-10,HSL.L,Henderson Smaller Companies Investment Trust,-1,-1,below chikou
2026-09-10,MNTN.L,Schiehallion Fund,0,0,neutral chikou
2026-09-10,MTRO.L,Metro Bank,1,1,above chikou
2026-09-10,LRE.L,Lancashire Holdings,1,4,above chikou
2026-09-10,PINT.L,Pantheon Infrastructure,1,5,above chikou
2026-09-10,ENOG.L,Energean,1,5,above chikou
2026-09-10,RHIM.L,RHI Magnesita,0,5,above chikou
2026-09-10,VSVS.L,Vesuvius,0,5,above chikou
2026-09-10,TATE.L,Tate & Lyle,1,5,above chikou
2026-09-10,TFIF.L,Twentyfour Income Fund,0,6,above chikou
2026-09-10,CWR.L,Ceres Power,1,6,above chikou
2026-09-10,HBR.L,Harbour Energy,1,7,above chikou
2026-09-10,MTO.L,Mitie,1,8,above chikou
2026-09-10,DRX.L,Drax Group,1,8,above chikou
2026-09-10,ATT.L,Allianz Technology Trust,0,9,above chikou
2026-09-10,PEY.L,Partners Group Private Equity,1,9,above chikou
2026-09-10,GCP.L,GCP Infrastructure Investments,0,9,above chikou
2026-09-10,HFD.L,Halfords,1,10,above chikou
2026-09-10,CSN.L,Chesnara,1,11,above chikou
2026-09-10,VOF.L,VinaCapital Vietnam Opportunity Fund,0,11,above chikou
2026-09-10,VEIL.L,Vietnam Enterprise Investments,1,11,above chikou
2026-09-10,JUP.L,Jupiter Fund Management,0,11,above chikou
2026-09-10,JMGI.L,JPMorgan Emerging Markets Growth & Income,1,12,above chikou
2026-09-10,EWI.L,Edinburgh Worldwide Investment Trust,1,12,above chikou
2026-09-10,EZJ.L,EasyJet,1,12,above chikou
2026-09-10,CORD.L,Cordiant Digital Infrastructure,0,12,above chikou
2026-09-10,HFEL.L,Henderson Far East Income,0,13,above chikou
2026-09-10,AAS.L,Aberdeen Asia Focus,1,13,above chikou
2026-09-10,JEMI.L,JPMorgan Emerging Markets Dividend Income,1,13,above chikou
2026-09-10,CMCX.L,CMC Markets,1,14,above chikou
2026-09-10,USA.L,Baillie Gifford US Growth Trust,1,14,above chikou
2026-09-10,SSIT.L,Seraphim Space Investment Trust,1,14,above chikou
2026-09-10,PFD.L,Premier Foods,0,14,above chikou
2026-09-10,PHI.L,Pacific Horizon Investment Trust,1,14,above chikou
2026-09-10,TEM.L,Templeton Emerging Markets Investment Trust,1,14,above chikou
2026-09-10,FEML.L,Fidelity Emerging Markets,1,14,above chikou
2026-09-10,IAD.L,Invesco Asia Dragon Trust,0,14,above chikou
2026-09-10,PTEC.L,Playtech,1,14,above chikou
2026-09-10,SDP.L,Schroder AsiaPacific Fund,1,14,above chikou
2026-09-10,WWH.L,Worldwide Healthcare Trust,0,16,above chikou
2026-09-10,XPP.L,XP Power,0,18,above chikou
2026-09-10,BHMG.L,BH Macro,1,19,above chikou
2026-09-10,ATR.L,Schroder Asian Total Return Investment Company,0,21,above chikou
2026-09-10,HANA.L,Hansa Investment Company,1,23,above chikou
2026-09-10,ONT.L,Oxford Nanopore Technologies,1,23,above chikou
2026-09-10,HOC.L,Hochschild Mining,1,24,above chikou
2026-09-10,FGEN.L,Foresight Environmental Infrastructure,0,25,above chikou
2026-09-10,JFJ.L,JPMorgan Japanese Investment Trust,0,26,above chikou
2026-09-10,BRWM.L,BlackRock World Mining Trust,1,26,above chikou
2026-09-10,PAF.L,Pan African Resources,1,26,above chikou
2026-09-10,AVON.L,Avon Technologies,0,27,above chikou
2026-09-10,SOI.L,Schroder Oriental Income Fund,0,27,above chikou
2026-09-10,IPO.L,IP Group,0,27,above chikou
2026-09-10,AGT.L,AVI Global Trust,0,28,above chikou
2026-09-10,BOY.L,Bodycote,1,30,above chikou
2026-09-10,RICA.L,Ruffer Investment Company,1,30,above chikou
2026-09-10,MGAM.L,Morgan Advanced Materials,1,30,above chikou
2026-09-10,ITH.L,Ithaca Energy,1,31,above chikou
2026-09-10,HGT.L,Hg Capital Trust,1,31,above chikou
2026-09-10,BGFD.L,Baillie Gifford Japan Trust,1,31,above chikou
2026-09-10,HWG.L,Harworth Group,1,32,above chikou
2026-09-10,OCI.L,Oakley Capital Investments,0,32,above chikou
2026-09-10,MEGP.L,ME Group International,0,32,above chikou
2026-09-10,DSCV.L,discoverIE,0,33,above chikou
2026-09-10,KNOS.L,Kainos,1,33,above chikou
2026-09-10,WPP.L,WPP,1,33,above chikou
2026-09-10,SRP.L,Serco,1,33,above chikou
2026-09-10,GROW.L,Molten Ventures,1,34,above chikou
2026-09-10,GAMA.L,Gamma Communications,1,36,above chikou
2026-09-10,SPI.L,Spire Healthcare,1,37,above chikou
2026-09-10,FAN.L,Volution Group,0,40,above chikou
2026-09-10,FOUR.L,4imprint,0,40,above chikou
2026-09-10,RS1.L,RS Group,0,41,above chikou
2026-09-10,CVSG.L,CVS Group,1,42,above chikou
2026-09-10,ATYM.L,Atalaya Mining,1,42,above chikou
2026-09-10,WKP.L,Workspace Group,0,43,above chikou
2026-09-10,DOM.L,Domino's Pizza,0,43,above chikou
2026-09-10,AEP.L,AEP Plantations,1,44,above chikou
2026-09-10,PAGE.L,PageGroup,1,44,above chikou
2026-09-10,VCT.L,Victrex,1,47,above chikou
2026-09-10,HFG.L,Hilton Food Group,1,47,above chikou
