Date,Symbol,Name,1D Chikou Direction,1D Chikou Count,1D Chikou State
2026-08-27,2331.HK,Li-Ning,-1,-82,below chikou
2026-08-27,0981.HK,Semiconductor Manufacturing International Corporation,-1,-26,below chikou
2026-08-27,9888.HK,Baidu,-1,-16,below chikou
2026-08-27,1299.HK,AIA Group Limited,-1,-13,below chikou
2026-08-27,9999.HK,NetEase,0,-13,below chikou
2026-08-27,2057.HK,ZTO Express,-1,-11,below chikou
2026-08-27,0700.HK,Tencent Holdings Limited,0,-11,below chikou
2026-08-27,2313.HK,Shenzhou International,-1,-11,below chikou
2026-08-27,2618.HK,JD Logistics,-1,-10,below chikou
2026-08-27,1024.HK,Kuaishou,-1,-10,below chikou
2026-08-27,0291.HK,China Resources Beer,-1,-8,below chikou
2026-08-27,9992.HK,Pop Mart,-1,-8,below chikou
2026-08-27,0762.HK,China Unicom,-1,-8,below chikou
2026-08-27,1876.HK,Budweiser Brewing Company APAC,-1,-6,below chikou
2026-08-27,1044.HK,Hengan International Group Co. Ltd,-1,-6,below chikou
2026-08-27,0001.HK,CK Hutchison Holdings Limited,-1,-6,below chikou
2026-08-27,1099.HK,Sinopharm Group,-1,-6,below chikou
2026-08-27,9618.HK,JD.com,-1,-4,below chikou
2026-08-27,0101.HK,Hang Lung Properties Limited,0,-4,below chikou
2026-08-27,0285.HK,BYD Electronics,0,-4,below chikou
2026-08-27,0288.HK,WH Group,-1,-3,below chikou
2026-08-27,9988.HK,Alibaba Group,0,-3,below chikou
2026-08-27,3690.HK,Meituan,-1,-3,below chikou
2026-08-27,0836.HK,China Resources Power,0,-2,below chikou
2026-08-27,1113.HK,CK Asset Holdings,-1,-2,below chikou
2026-08-27,0881.HK,Zhongsheng Group,-1,-1,below chikou
2026-08-27,0241.HK,Alibaba Health,-1,-1,below chikou
2026-08-27,0823.HK,Link REIT,-1,-1,below chikou
2026-08-27,6618.HK,JD Health,-1,-1,below chikou
2026-08-27,3692.HK,Hansoh Pharmaceutical Group,1,1,above chikou
2026-08-27,2015.HK,Li Auto,1,1,above chikou
2026-08-27,2020.HK,Anta Sports,1,2,above chikou
2026-08-27,6862.HK,Haidilao,1,2,above chikou
2026-08-27,0175.HK,Geely Auto,0,3,above chikou
2026-08-27,1378.HK,China Hongqiao Group,0,4,above chikou
2026-08-27,2628.HK,China Life,1,4,above chikou
2026-08-27,1177.HK,Sino Biopharm,1,5,above chikou
2026-08-27,2382.HK,Sunny Optical,1,12,above chikou
2026-08-27,9633.HK,Nongfu Spring,0,15,above chikou
2026-08-27,0968.HK,Xinyi Solar,1,20,above chikou
2026-08-27,1929.HK,Chow Tai Fook,1,20,above chikou
2026-08-27,0992.HK,Lenovo,1,20,above chikou
2026-08-27,0868.HK,Xinyi Glass,1,21,above chikou
2026-08-27,2899.HK,Zijin Mining,1,22,above chikou
2026-08-27,0267.HK,CITIC Limited,1,22,above chikou
2026-08-27,0960.HK,Longfor Properties,0,22,above chikou
2026-08-27,0688.HK,China Overseas Land & Investment Limited,1,22,above chikou
2026-08-27,9961.HK,Trip.com Group,1,22,above chikou
2026-08-27,1109.HK,China Resources Land Limited,0,22,above chikou
2026-08-27,1209.HK,China Resources Mixc Lifestyle,1,23,above chikou
2026-08-27,0883.HK,CNOOC Limited,1,23,above chikou
2026-08-27,2688.HK,ENN Energy,1,23,above chikou
2026-08-27,0941.HK,China Mobile Ltd,1,24,above chikou
2026-08-27,1928.HK,Sands China,1,24,above chikou
2026-08-27,3988.HK,Bank of China Ltd,1,24,above chikou
2026-08-27,2318.HK,Ping An Insurance,1,24,above chikou
2026-08-27,1088.HK,China Shenhua Energy,1,26,above chikou
2026-08-27,0003.HK,Hong Kong and China Gas Company Limited,1,28,above chikou
2026-08-27,0012.HK,Henderson Land Development Company Limited,1,28,above chikou
2026-08-27,1810.HK,Xiaomi,1,29,above chikou
2026-08-27,0939.HK,China Construction Bank,1,29,above chikou
2026-08-27,0857.HK,PetroChina Company Limited,0,29,above chikou
2026-08-27,3968.HK,China Merchants Bank,1,30,above chikou
2026-08-27,0066.HK,MTR Corporation Ltd,1,30,above chikou
2026-08-27,0388.HK,HKEx Limited,1,31,above chikou
2026-08-27,6690.HK,Haier,1,31,above chikou
2026-08-27,0322.HK,Tingyi,1,31,above chikou
2026-08-27,0027.HK,Galaxy Entertainment Group Ltd.,1,31,above chikou
2026-08-27,0386.HK,Sinopec Corp,1,31,above chikou
2026-08-27,1211.HK,BYD Company,1,31,above chikou
2026-08-27,0016.HK,Sun Hung Kai Properties Limited,0,31,above chikou
2026-08-27,2388.HK,BOC Hong Kong (Holdings) Ltd,1,32,above chikou
2026-08-27,0006.HK,Power Assets Holdings Limited,1,33,above chikou
2026-08-27,1997.HK,Wharf Real Estate Investment Company Limited,1,33,above chikou
2026-08-27,0316.HK,Orient Overseas (International) Limited,1,33,above chikou
2026-08-27,1038.HK,Cheung Kong Infrastructure Holdings Limited,1,36,above chikou
2026-08-27,0002.HK,CLP Holdings Limited,1,36,above chikou
2026-08-27,1398.HK,Industrial and Commercial Bank of China,1,37,above chikou
2026-08-27,0300.HK,Midea Group,1,40,above chikou
2026-08-27,1093.HK,CSPC Pharmaceutical Group,1,40,above chikou
2026-08-27,2319.HK,Mengniu Dairy,1,40,above chikou
2026-08-27,2269.HK,WuXi Biologics,1,43,above chikou
2026-08-27,0669.HK,Techtronic Industries,1,45,above chikou
2026-08-27,2359.HK,WuXi AppTec,1,46,above chikou
2026-08-27,0005.HK,HSBC Holdings plc,1,53,above chikou
