Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
1044.HK,Hengan International Group Co. Ltd,-1,-48,below chikou,-1,-7,below chikou,-1,-19,below chikou,0,10,above chikou,-64
1099.HK,Sinopharm Group,-1,-42,below chikou,-1,-7,below chikou,-1,-18,below chikou,-1,-4,below chikou,-71
3690.HK,Meituan,-1,-42,below chikou,-1,-4,below chikou,-1,-1,below chikou,-1,-4,below chikou,-51
0322.HK,Tingyi,-1,-33,below chikou,1,32,above chikou,1,8,above chikou,1,20,above chikou,27
2618.HK,JD Logistics,-1,-33,below chikou,-1,-11,below chikou,0,9,above chikou,1,14,above chikou,-21
6618.HK,JD Health,-1,-32,below chikou,-1,-2,below chikou,-1,-28,below chikou,1,13,above chikou,-49
0868.HK,Xinyi Glass,0,-31,below chikou,0,22,above chikou,-1,-4,below chikou,0,8,above chikou,-5
1997.HK,Wharf Real Estate Investment Company Limited,-1,-26,below chikou,1,34,above chikou,1,7,above chikou,1,8,above chikou,23
0288.HK,WH Group,-1,-26,below chikou,-1,-4,below chikou,-1,-8,below chikou,1,33,above chikou,-5
0027.HK,Galaxy Entertainment Group Ltd.,-1,-26,below chikou,1,32,above chikou,-1,-26,below chikou,0,-29,below chikou,-49
0941.HK,China Mobile Ltd,-1,-26,below chikou,1,25,above chikou,1,7,above chikou,1,49,above chikou,55
0006.HK,Power Assets Holdings Limited,-1,-21,below chikou,1,34,above chikou,0,2,above chikou,1,26,above chikou,41
9618.HK,JD.com,-1,-21,below chikou,-1,-5,below chikou,1,6,above chikou,0,8,above chikou,-12
2015.HK,Li Auto,-1,-21,below chikou,0,2,above chikou,-1,-46,below chikou,-1,-13,below chikou,-78
0066.HK,MTR Corporation Ltd,-1,-21,below chikou,1,31,above chikou,-1,-4,below chikou,1,10,above chikou,16
9961.HK,Trip.com Group,-1,-21,below chikou,1,23,above chikou,-1,-33,below chikou,-1,-3,below chikou,-34
0881.HK,Zhongsheng Group,-1,-20,below chikou,-1,-2,below chikou,-1,-31,below chikou,-1,-48,below chikou,-101
0669.HK,Techtronic Industries,-1,-20,below chikou,1,46,above chikou,1,39,above chikou,1,25,above chikou,90
2313.HK,Shenzhou International,-1,-20,below chikou,-1,-12,below chikou,-1,-25,below chikou,-1,-49,below chikou,-106
0823.HK,Link REIT,0,-18,below chikou,0,-2,below chikou,1,17,above chikou,1,12,above chikou,9
0175.HK,Geely Auto,-1,-18,below chikou,0,4,above chikou,1,23,above chikou,1,21,above chikou,30
0016.HK,Sun Hung Kai Properties Limited,-1,-16,below chikou,0,32,above chikou,-1,-4,below chikou,1,12,above chikou,24
0003.HK,Hong Kong and China Gas Company Limited,-1,-15,below chikou,1,29,above chikou,0,-14,below chikou,1,16,above chikou,16
1928.HK,Sands China,-1,-14,below chikou,1,25,above chikou,-1,-31,below chikou,-1,-19,below chikou,-39
0291.HK,China Resources Beer,-1,-14,below chikou,-1,-9,below chikou,-1,-28,below chikou,-1,-42,below chikou,-93
1113.HK,CK Asset Holdings,-1,-13,below chikou,-1,-3,below chikou,0,67,above chikou,1,10,above chikou,61
0316.HK,Orient Overseas (International) Limited,-1,-13,below chikou,1,34,above chikou,1,27,above chikou,1,21,above chikou,69
0012.HK,Henderson Land Development Company Limited,-1,-13,below chikou,1,29,above chikou,-1,-13,below chikou,1,15,above chikou,18
1038.HK,Cheung Kong Infrastructure Holdings Limited,-1,-13,below chikou,1,37,above chikou,0,58,above chikou,1,26,above chikou,108
0267.HK,CITIC Limited,0,-13,below chikou,1,23,above chikou,1,6,above chikou,1,33,above chikou,49
1398.HK,Industrial and Commercial Bank of China,0,-12,below chikou,1,38,above chikou,1,138,above chikou,1,33,above chikou,197
0939.HK,China Construction Bank,0,-12,below chikou,1,30,above chikou,1,30,above chikou,1,32,above chikou,80
