Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
SHW,Sherwin-Williams,0,-49,below chikou,-1,-3,below chikou,0,-3,below chikou,0,4,above chikou,-51
IP,International Paper,0,-49,below chikou,-1,-4,below chikou,-1,-28,below chikou,-1,-1,below chikou,-82
VMC,Vulcan Materials Company,0,-49,below chikou,-1,-33,below chikou,-1,-8,below chikou,0,73,above chikou,-17
SW,Smurfit Westrock,-1,-47,below chikou,-1,-4,below chikou,0,18,above chikou,0,29,above chikou,-4
ECL,Ecolab,-1,-40,below chikou,0,16,above chikou,0,-7,below chikou,1,31,above chikou,0
FCX,Freeport-McMoRan,-1,-39,below chikou,1,25,above chikou,1,49,above chikou,1,16,above chikou,51
DD,DuPont,-1,-39,below chikou,-1,-7,below chikou,-1,-3,below chikou,1,15,above chikou,-34
IFF,International Flavors & Fragrances,0,-15,below chikou,1,29,above chikou,1,31,above chikou,-1,-7,below chikou,38
BALL,Ball Corporation,-1,-15,below chikou,-1,-4,below chikou,0,-4,below chikou,1,1,above chikou,-22
AMCR,Amcor,-1,-14,below chikou,0,64,above chikou,0,-2,below chikou,0,-7,below chikou,41
LIN,Linde plc,-1,-14,below chikou,-1,-34,below chikou,0,-2,below chikou,1,114,above chikou,64
APD,Air Products,-1,-14,below chikou,0,17,above chikou,1,24,above chikou,1,8,above chikou,35
ALB,Albemarle Corporation,-1,-12,below chikou,1,17,above chikou,-1,-11,below chikou,1,9,above chikou,3
DOW,Dow Inc.,-1,-9,below chikou,0,5,above chikou,0,32,above chikou,-1,-21,below chikou,7
LYB,LyondellBasell,-1,-3,below chikou,1,28,above chikou,0,31,above chikou,-1,-19,below chikou,37
AVY,Avery Dennison,1,1,above chikou,0,29,above chikou,-1,-19,below chikou,-1,-7,below chikou,4
MLM,Martin Marietta Materials,1,2,above chikou,-1,-33,below chikou,-1,-26,below chikou,-1,-3,below chikou,-60
PKG,Packaging Corporation of America,1,3,above chikou,-1,-4,below chikou,1,21,above chikou,1,73,above chikou,93
PPG,PPG Industries,1,5,above chikou,0,-33,below chikou,0,-4,below chikou,-1,-20,below chikou,-52
NEM,Newmont,1,13,above chikou,1,23,above chikou,0,3,above chikou,1,24,above chikou,63
STLD,Steel Dynamics,1,21,above chikou,-1,-13,below chikou,1,52,above chikou,1,68,above chikou,128
NUE,Nucor,1,21,above chikou,1,29,above chikou,1,63,above chikou,1,10,above chikou,123
MOS,Mosaic Company (The),1,26,above chikou,1,12,above chikou,0,-45,below chikou,0,-33,below chikou,-40
CF,CF Industries,1,31,above chikou,1,43,above chikou,1,30,above chikou,1,17,above chikou,121
CTVA,Corteva,1,41,above chikou,-1,-1,below chikou,1,31,above chikou,1,25,above chikou,96
