Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
APA,APA Corporation,1,5,above chikou,1,39,above chikou,1,56,above chikou,1,7,above chikou,107
BKR,Baker Hughes,-1,-38,below chikou,-1,-5,below chikou,0,55,above chikou,1,61,above chikou,73
COP,ConocoPhillips,-1,-7,below chikou,1,40,above chikou,1,43,above chikou,1,3,above chikou,79
CVX,Chevron Corporation,-1,-6,below chikou,1,40,above chikou,1,50,above chikou,1,14,above chikou,98
DVN,Devon Energy,-1,-6,below chikou,1,39,above chikou,0,50,above chikou,1,2,above chikou,85
EOG,EOG Resources,-1,-5,below chikou,1,11,above chikou,1,32,above chikou,1,8,above chikou,46
EQT,EQT Corporation,-1,-43,below chikou,-1,-1,below chikou,-1,-19,below chikou,1,22,above chikou,-41
FANG,Diamondback Energy,-1,-7,below chikou,0,11,above chikou,1,50,above chikou,0,3,above chikou,57
HAL,Halliburton,-1,-43,below chikou,1,15,above chikou,0,4,above chikou,0,2,above chikou,-22
KMI,Kinder Morgan,0,-42,below chikou,-1,-4,below chikou,-1,-5,below chikou,1,53,above chikou,2
MPC,Marathon Petroleum,1,13,above chikou,1,54,above chikou,1,71,above chikou,1,65,above chikou,203
OKE,Oneok,-1,-10,below chikou,1,15,above chikou,1,33,above chikou,1,60,above chikou,98
OXY,Occidental Petroleum,-1,-7,below chikou,1,40,above chikou,0,34,above chikou,0,-5,below chikou,62
PSX,Phillips 66,1,13,above chikou,1,52,above chikou,1,66,above chikou,1,54,above chikou,185
SLB,Schlumberger,-1,-58,below chikou,0,35,above chikou,1,48,above chikou,1,8,above chikou,33
TRGP,Targa Resources,-1,-22,below chikou,1,22,above chikou,1,46,above chikou,1,65,above chikou,111
VLO,Valero Energy,1,13,above chikou,1,56,above chikou,1,66,above chikou,1,16,above chikou,151
WMB,Williams Companies,-1,-35,below chikou,0,11,above chikou,-1,-1,below chikou,1,68,above chikou,43
XOM,ExxonMobil,-1,-6,below chikou,1,40,above chikou,1,66,above chikou,1,58,above chikou,158
