Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
ACGL,Arch Capital Group,0,-29,below chikou,-1,-23,below chikou,0,11,above chikou,0,75,above chikou,34
AFL,Aflac,0,-27,below chikou,-1,-18,below chikou,1,57,above chikou,1,69,above chikou,81
AIG,American International Group,0,-28,below chikou,-1,-23,below chikou,-1,-4,below chikou,0,68,above chikou,13
AIZ,Assurant,-1,-22,below chikou,-1,-1,below chikou,1,56,above chikou,1,26,above chikou,59
AJG,Arthur J. Gallagher & Co.,-1,-28,below chikou,-1,-3,below chikou,1,5,above chikou,-1,-1,below chikou,-27
ALL,Allstate,-1,-28,below chikou,-1,-7,below chikou,1,15,above chikou,1,35,above chikou,15
AMP,Ameriprise Financial,0,-15,below chikou,0,51,above chikou,1,9,above chikou,1,76,above chikou,121
AON,Aon plc,-1,-78,below chikou,-1,-9,below chikou,-1,-2,below chikou,0,189,above chikou,100
AXP,American Express,-1,-22,below chikou,-1,-8,below chikou,1,2,above chikou,1,34,above chikou,6
BAC,Bank of America,1,8,above chikou,0,69,above chikou,1,14,above chikou,1,28,above chikou,119
BEN,Franklin Resources,-1,-8,below chikou,-1,-2,below chikou,1,70,above chikou,1,14,above chikou,74
BLK,BlackRock,-1,-67,below chikou,-1,-3,below chikou,1,6,above chikou,1,29,above chikou,-35
BRO,Brown & Brown,-1,-35,below chikou,-1,-4,below chikou,-1,-1,below chikou,-1,-7,below chikou,-47
BX,Blackstone Inc.,-1,-61,below chikou,-1,-2,below chikou,1,5,above chikou,0,31,above chikou,-27
C,Citigroup,1,9,above chikou,0,14,above chikou,1,73,above chikou,1,31,above chikou,127
CB,Chubb Limited,0,-22,below chikou,-1,-14,below chikou,1,44,above chikou,1,71,above chikou,79
CBOE,Cboe Global Markets,-1,-14,below chikou,-1,-1,below chikou,0,10,above chikou,1,67,above chikou,62
CFG,Citizens Financial Group,0,-20,below chikou,-1,-16,below chikou,1,64,above chikou,1,17,above chikou,45
CINF,Cincinnati Financial,0,-28,below chikou,-1,-27,below chikou,1,14,above chikou,1,32,above chikou,-9
CME,CME Group,-1,-49,below chikou,1,34,above chikou,-1,-13,below chikou,1,37,above chikou,9
COF,Capital One,-1,-22,below chikou,-1,-2,below chikou,1,5,above chikou,1,28,above chikou,9
CPAY,Corpay,-1,-22,below chikou,1,44,above chikou,1,23,above chikou,1,34,above chikou,79
EG,Everest Group,0,-28,below chikou,0,2,above chikou,1,20,above chikou,0,-12,below chikou,-18
ERIE,Erie Indemnity,-1,-30,below chikou,0,17,above chikou,0,-85,below chikou,-1,-8,below chikou,-106
FDS,FactSet,-1,-35,below chikou,-1,-2,below chikou,1,6,above chikou,-1,-13,below chikou,-44
FIS,Fidelity National Information Services,-1,-28,below chikou,-1,-8,below chikou,-1,-52,below chikou,-1,-8,below chikou,-96
FITB,Fifth Third Bancorp,0,-19,below chikou,-1,-17,below chikou,1,24,above chikou,1,27,above chikou,15
GL,Globe Life,0,-28,below chikou,-1,-17,below chikou,1,23,above chikou,1,26,above chikou,4
GPN,Global Payments,-1,-28,below chikou,0,45,above chikou,1,8,above chikou,-1,-18,below chikou,7
GS,Goldman Sachs,0,-14,below chikou,-1,-2,below chikou,1,73,above chikou,1,32,above chikou,89
HBAN,Huntington Bancshares,0,-22,below chikou,-1,-18,below chikou,1,12,above chikou,1,27,above chikou,-1
HIG,Hartford (The),-1,-25,below chikou,-1,-13,below chikou,0,-4,below chikou,1,70,above chikou,28
