Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
CARR,Carrier Global,-1,-113,below chikou,-1,-30,below chikou,0,-4,below chikou,-1,-1,below chikou,-148
BA,Boeing,-1,-113,below chikou,0,3,above chikou,-1,-9,below chikou,1,5,above chikou,-114
CMI,Cummins,-1,-70,below chikou,-1,-27,below chikou,0,57,above chikou,1,38,above chikou,-2
URI,United Rentals,-1,-68,below chikou,-1,-1,below chikou,1,19,above chikou,1,73,above chikou,23
HWM,Howmet Aerospace,-1,-56,below chikou,-1,-5,below chikou,-1,-1,below chikou,1,74,above chikou,12
MAS,Masco,-1,-47,below chikou,-1,-24,below chikou,1,1,above chikou,1,3,above chikou,-67
PNR,Pentair,-1,-41,below chikou,-1,-1,below chikou,-1,-31,below chikou,-1,-4,below chikou,-77
BLDR,Builders FirstSource,-1,-36,below chikou,-1,-30,below chikou,-1,-39,below chikou,-1,-12,below chikou,-117
AOS,A. O. Smith,-1,-36,below chikou,0,25,above chikou,-1,-26,below chikou,-1,-6,below chikou,-43
ALLE,Allegion,-1,-36,below chikou,0,47,above chikou,0,-29,below chikou,1,30,above chikou,12
WM,Waste Management,-1,-36,below chikou,-1,-13,below chikou,-1,-3,below chikou,1,192,above chikou,140
PCAR,Paccar,-1,-23,below chikou,-1,-1,below chikou,0,50,above chikou,1,77,above chikou,103
FAST,Fastenal,-1,-22,below chikou,1,26,above chikou,1,22,above chikou,1,118,above chikou,144
IR,Ingersoll Rand,-1,-22,below chikou,-1,-6,below chikou,-1,-17,below chikou,-1,-5,below chikou,-50
GNRC,Generac,-1,-21,below chikou,-1,-41,below chikou,-1,-3,below chikou,1,15,above chikou,-50
ITW,Illinois Tool Works,-1,-21,below chikou,0,53,above chikou,0,-3,below chikou,1,76,above chikou,105
DAL,Delta Air Lines,-1,-21,below chikou,-1,-8,below chikou,1,25,above chikou,1,31,above chikou,27
OTIS,Otis Worldwide,-1,-21,below chikou,1,1,above chikou,-1,-26,below chikou,-1,-6,below chikou,-52
CTAS,Cintas,-1,-21,below chikou,0,41,above chikou,0,8,above chikou,1,189,above chikou,217
TDG,TransDigm Group,-1,-21,below chikou,-1,-34,below chikou,-1,-9,below chikou,0,206,above chikou,142
MMM,3M,-1,-21,below chikou,1,68,above chikou,1,7,above chikou,1,26,above chikou,80
XYL,Xylem Inc.,-1,-21,below chikou,-1,-11,below chikou,-1,-30,below chikou,-1,-4,below chikou,-66
NSC,Norfolk Southern,-1,-17,below chikou,-1,-1,below chikou,1,21,above chikou,1,25,above chikou,28
WAB,Wabtec,-1,-17,below chikou,-1,-1,below chikou,1,55,above chikou,1,66,above chikou,103
FTV,Fortive,-1,-17,below chikou,0,-23,below chikou,1,38,above chikou,1,2,above chikou,0
SWK,Stanley Black & Decker,-1,-17,below chikou,1,92,above chikou,1,21,above chikou,1,3,above chikou,99
LUV,Southwest Airlines,-1,-17,below chikou,-1,-27,below chikou,-1,-4,below chikou,1,16,above chikou,-32
UAL,United Airlines Holdings,-1,-15,below chikou,-1,-21,below chikou,1,16,above chikou,1,29,above chikou,9
BR,Broadridge Financial Solutions,0,-15,below chikou,1,32,above chikou,0,3,above chikou,-1,-6,below chikou,14
JCI,Johnson Controls,-1,-14,below chikou,-1,-1,below chikou,0,-2,below chikou,1,28,above chikou,11
NDSN,Nordson Corporation,-1,-14,below chikou,1,37,above chikou,1,55,above chikou,1,9,above chikou,87
CSX,CSX Corporation,-1,-14,below chikou,-1,-1,below chikou,1,63,above chikou,1,16,above chikou,64
PH,Parker Hannifin,-1,-14,below chikou,0,55,above chikou,0,63,above chikou,1,76,above chikou,180
HUBB,Hubbell Incorporated,-1,-14,below chikou,-1,-8,below chikou,-1,-3,below chikou,1,75,above chikou,50
EMR,Emerson Electric,-1,-14,below chikou,1,22,above chikou,1,3,above chikou,1,33,above chikou,44
DOV,Dover Corporation,-1,-14,below chikou,0,-33,below chikou,-1,-4,below chikou,1,29,above chikou,-22
IEX,IDEX Corporation,-1,-14,below chikou,1,96,above chikou,1,37,above chikou,1,2,above chikou,121
GEV,GE Vernova,-1,-14,below chikou,-1,-24,below chikou,1,102,above chikou,1,4,above chikou,68
UNP,Union Pacific Corporation,-1,-12,below chikou,-1,-1,below chikou,1,49,above chikou,1,38,above chikou,74
CAT,Caterpillar Inc.,-1,-12,below chikou,-1,-32,below chikou,1,63,above chikou,1,72,above chikou,91
ETN,Eaton Corporation,-1,-12,below chikou,0,21,above chikou,1,22,above chikou,1,118,above chikou,149
SNA,Snap-on,-1,-12,below chikou,-1,-9,below chikou,1,51,above chikou,1,68,above chikou,98
AME,Ametek,-1,-12,below chikou,-1,-1,below chikou,0,52,above chikou,1,115,above chikou,154
TT,Trane Technologies,-1,-11,below chikou,-1,-10,below chikou,0,31,above chikou,1,190,above chikou,200
UBER,Uber,-1,-11,below chikou,1,16,above chikou,0,4,above chikou,1,1,above chikou,10
FDX,FedEx,-1,-10,below chikou,1,16,above chikou,1,49,above chikou,1,34,above chikou,89
GE,GE Aerospace,-1,-9,below chikou,-1,-1,below chikou,0,15,above chikou,1,51,above chikou,56
AXON,Axon Enterprise,-1,-8,below chikou,1,11,above chikou,0,5,above chikou,1,106,above chikou,114
HON,Honeywell Technologies,-1,-7,below chikou,-1,-7,below chikou,-1,-4,below chikou,1,28,above chikou,10
EFX,Equifax,-1,-7,below chikou,1,32,above chikou,-1,-45,below chikou,-1,-7,below chikou,-27
GD,General Dynamics,-1,-7,below chikou,-1,-1,below chikou,1,15,above chikou,1,66,above chikou,73
RTX,RTX Corporation,-1,-7,below chikou,-1,-1,below chikou,0,16,above chikou,1,32,above chikou,40
HII,Huntington Ingalls Industries,-1,-7,below chikou,0,24,above chikou,-1,-14,below chikou,1,17,above chikou,20
ROK,Rockwell Automation,-1,-7,below chikou,-1,-19,below chikou,1,70,above chikou,1,16,above chikou,60
NOC,Northrop Grumman,-1,-7,below chikou,0,23,above chikou,-1,-19,below chikou,1,17,above chikou,14
UPS,United Parcel Service,-1,-7,below chikou,-1,-24,below chikou,0,-4,below chikou,-1,-38,below chikou,-73
TXT,Textron,-1,-7,below chikou,-1,-24,below chikou,-1,-8,below chikou,-1,-1,below chikou,-40
CPRT,Copart,0,-4,below chikou,1,12,above chikou,-1,-68,below chikou,-1,-10,below chikou,-70
ROL,"Rollins, Inc.",-1,-3,below chikou,-1,-77,below chikou,-1,-26,below chikou,-1,-2,below chikou,-108
J,Jacobs Solutions,-1,-3,below chikou,1,52,above chikou,1,3,above chikou,1,31,above chikou,83
VLTO,Veralto,-1,-3,below chikou,1,46,above chikou,1,4,above chikou,0,-4,below chikou,43
GWW,W. W. Grainger,-1,-2,below chikou,-1,-20,below chikou,1,33,above chikou,1,106,above chikou,117
EXPD,Expeditors International,-1,-1,below chikou,1,81,above chikou,1,63,above chikou,1,33,above chikou,176
PWR,Quanta Services,-1,-1,below chikou,-1,-4,below chikou,1,71,above chikou,1,76,above chikou,142
LMT,Lockheed Martin,-1,-1,below chikou,0,27,above chikou,-1,-8,below chikou,1,56,above chikou,74
JBHT,J.B. Hunt,1,3,above chikou,-1,-9,below chikou,1,47,above chikou,1,8,above chikou,49
ODFL,Old Dominion,1,4,above chikou,-1,-22,below chikou,0,35,above chikou,1,4,above chikou,21
DE,Deere & Company,1,7,above chikou,1,12,above chikou,1,34,above chikou,1,75,above chikou,128
RSG,Republic Services,0,7,above chikou,1,4,above chikou,-1,-4,below chikou,1,164,above chikou,171
LHX,L3Harris,1,11,above chikou,-1,-22,below chikou,-1,-9,below chikou,1,25,above chikou,5
LDOS,Leidos,1,15,above chikou,1,25,above chikou,-1,-29,below chikou,0,-3,below chikou,8
VRSK,Verisk Analytics,1,21,above chikou,0,-15,below chikou,-1,-1,below chikou,-1,-11,below chikou,-6
CHRW,C.H. Robinson,0,28,above chikou,-1,-26,below chikou,-1,-6,below chikou,1,14,above chikou,10
PAYX,Paychex,1,56,above chikou,1,78,above chikou,1,8,above chikou,1,1,above chikou,143
ADP,Automatic Data Processing,1,69,above chikou,1,85,above chikou,1,6,above chikou,1,2,above chikou,162
