Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
FSLR,First Solar,-1,-106,below chikou,-1,-12,below chikou,0,-3,below chikou,-1,-2,below chikou,-123
ZBRA,Zebra Technologies,-1,-29,below chikou,1,46,above chikou,1,10,above chikou,0,2,above chikou,29
TDY,Teledyne Technologies,-1,-28,below chikou,-1,-2,below chikou,-1,-3,below chikou,1,26,above chikou,-7
AMAT,Applied Materials,-1,-21,below chikou,-1,-28,below chikou,1,53,above chikou,1,76,above chikou,80
KLAC,KLA Corporation,-1,-20,below chikou,-1,-32,below chikou,1,72,above chikou,1,191,above chikou,211
ADI,Analog Devices,-1,-20,below chikou,-1,-11,below chikou,0,69,above chikou,1,193,above chikou,231
CSCO,Cisco,-1,-19,below chikou,-1,-12,below chikou,1,107,above chikou,1,27,above chikou,103
MPWR,Monolithic Power Systems,-1,-19,below chikou,-1,-9,below chikou,1,69,above chikou,1,170,above chikou,211
TER,Teradyne,-1,-19,below chikou,0,-3,below chikou,1,54,above chikou,1,15,above chikou,47
LRCX,Lam Research,-1,-19,below chikou,-1,-31,below chikou,1,69,above chikou,1,157,above chikou,176
JBL,Jabil,-1,-18,below chikou,-1,-4,below chikou,1,74,above chikou,1,78,above chikou,130
HPE,Hewlett Packard Enterprise,-1,-16,below chikou,1,22,above chikou,1,21,above chikou,1,67,above chikou,94
SMCI,Supermicro,-1,-15,below chikou,1,18,above chikou,1,4,above chikou,-1,-7,below chikou,0
AMD,Advanced Micro Devices,-1,-15,below chikou,-1,-27,below chikou,1,64,above chikou,1,35,above chikou,57
NTAP,NetApp,-1,-14,below chikou,1,30,above chikou,1,18,above chikou,1,35,above chikou,69
STX,Seagate Technology,-1,-11,below chikou,-1,-3,below chikou,1,69,above chikou,1,28,above chikou,83
WDC,Western Digital,0,-9,below chikou,-1,-28,below chikou,1,65,above chikou,1,30,above chikou,58
DELL,Dell Technologies,-1,-8,below chikou,0,8,above chikou,1,28,above chikou,1,78,above chikou,106
ANET,Arista Networks,-1,-8,below chikou,1,23,above chikou,1,21,above chikou,1,70,above chikou,106
KEYS,Keysight Technologies,-1,-8,below chikou,0,-9,below chikou,1,53,above chikou,1,16,above chikou,52
ON,ON Semiconductor,-1,-7,below chikou,-1,-47,below chikou,1,53,above chikou,0,6,above chikou,5
