Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
PSA,Public Storage,-1,-62,below chikou,-1,-1,below chikou,1,22,above chikou,1,25,above chikou,-16
KIM,Kimco Realty,-1,-61,below chikou,-1,-19,below chikou,1,31,above chikou,1,25,above chikou,-24
SPG,Simon Property Group,-1,-49,below chikou,-1,-7,below chikou,1,52,above chikou,1,34,above chikou,30
EXR,Extra Space Storage,-1,-48,below chikou,-1,-5,below chikou,-1,-2,below chikou,0,19,above chikou,-36
CBRE,CBRE Group,-1,-36,below chikou,1,47,above chikou,0,-30,below chikou,1,26,above chikou,7
WY,Weyerhaeuser,-1,-35,below chikou,-1,-1,below chikou,-1,-8,below chikou,-1,-29,below chikou,-73
HST,Host Hotels & Resorts,-1,-34,below chikou,-1,-17,below chikou,1,55,above chikou,1,15,above chikou,19
O,Realty Income,-1,-32,below chikou,-1,-15,below chikou,-1,-3,below chikou,1,15,above chikou,-35
CPT,Camden Property Trust,-1,-29,below chikou,-1,-19,below chikou,0,21,above chikou,1,21,above chikou,-6
VICI,Vici Properties,-1,-29,below chikou,-1,-10,below chikou,-1,-12,below chikou,0,76,above chikou,25
MAA,Mid-America Apartment Communities,-1,-29,below chikou,-1,-19,below chikou,0,14,above chikou,0,22,above chikou,-12
INVH,Invitation Homes,-1,-28,below chikou,-1,-2,below chikou,1,19,above chikou,-1,-12,below chikou,-23
CSGP,CoStar Group,-1,-26,below chikou,1,20,above chikou,-1,-47,below chikou,-1,-11,below chikou,-64
AMT,American Tower,-1,-22,below chikou,1,17,above chikou,-1,-10,below chikou,-1,-6,below chikou,-21
UDR,"UDR, Inc.",-1,-21,below chikou,-1,-19,below chikou,0,19,above chikou,0,9,above chikou,-12
VTR,Ventas,-1,-21,below chikou,-1,-15,below chikou,1,146,above chikou,1,26,above chikou,136
ESS,Essex Property Trust,-1,-21,below chikou,-1,-18,below chikou,1,19,above chikou,1,25,above chikou,5
REG,Regency Centers,-1,-21,below chikou,-1,-19,below chikou,-1,-1,below chikou,1,26,above chikou,-15
ARE,Alexandria Real Estate Equities,-1,-20,below chikou,1,8,above chikou,0,3,above chikou,-1,-43,below chikou,-52
DOC,Healthpeak Properties,-1,-17,below chikou,-1,-17,below chikou,1,18,above chikou,1,10,above chikou,-6
PLD,Prologis,-1,-16,below chikou,-1,-9,below chikou,0,51,above chikou,1,11,above chikou,37
IRM,Iron Mountain,-1,-12,below chikou,-1,-4,below chikou,1,30,above chikou,1,69,above chikou,83
DLR,Digital Realty,-1,-12,below chikou,1,19,above chikou,1,31,above chikou,1,29,above chikou,67
WELL,Welltower,-1,-11,below chikou,-1,-5,below chikou,1,180,above chikou,1,70,above chikou,234
FRT,Federal Realty Investment Trust,-1,-11,below chikou,-1,-19,below chikou,1,52,above chikou,1,15,above chikou,37
EQIX,Equinix,-1,-11,below chikou,1,15,above chikou,1,35,above chikou,1,32,above chikou,71
BXP,"BXP, Inc.",-1,-11,below chikou,0,4,above chikou,1,10,above chikou,1,3,above chikou,6
CCI,Crown Castle,0,3,above chikou,0,-53,below chikou,-1,-12,below chikou,-1,-7,below chikou,-69
SBAC,SBA Communications,1,40,above chikou,1,4,above chikou,0,-7,below chikou,0,-3,below chikou,34
