Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
AEE,Ameren,-1,-63,below chikou,-1,-38,below chikou,-1,-4,below chikou,1,25,above chikou,-80
AEP,American Electric Power,-1,-62,below chikou,-1,-38,below chikou,-1,-6,below chikou,1,27,above chikou,-79
AES,AES Corporation,-1,-1,below chikou,1,52,above chikou,1,4,above chikou,-1,-7,below chikou,48
ATO,Atmos Energy,-1,-70,below chikou,-1,-36,below chikou,-1,-6,below chikou,1,56,above chikou,-56
AWK,American Water Works,-1,-21,below chikou,-1,-2,below chikou,0,14,above chikou,0,10,above chikou,1
CEG,Constellation Energy,0,13,above chikou,-1,-6,below chikou,-1,-28,below chikou,1,31,above chikou,10
CMS,CMS Energy,-1,-62,below chikou,-1,-38,below chikou,-1,-6,below chikou,1,26,above chikou,-80
CNP,CenterPoint Energy,-1,-9,below chikou,-1,-38,below chikou,-1,-6,below chikou,1,23,above chikou,-30
D,Dominion Energy,-1,-69,below chikou,-1,-36,below chikou,1,68,above chikou,1,20,above chikou,-17
DTE,DTE Energy,-1,-64,below chikou,-1,-39,below chikou,-1,-6,below chikou,1,25,above chikou,-84
DUK,Duke Energy,-1,-69,below chikou,-1,-36,below chikou,-1,-6,below chikou,1,34,above chikou,-77
ED,Consolidated Edison,-1,-19,below chikou,-1,-3,below chikou,-1,-6,below chikou,1,57,above chikou,29
EIX,Edison International,0,7,above chikou,-1,-36,below chikou,-1,-5,below chikou,-1,-2,below chikou,-36
ES,Eversource Energy,-1,-21,below chikou,-1,-34,below chikou,0,-5,below chikou,1,13,above chikou,-47
ETR,Entergy,-1,-64,below chikou,-1,-39,below chikou,0,138,above chikou,1,53,above chikou,88
EVRG,Evergy,-1,-51,below chikou,-1,-37,below chikou,0,131,above chikou,1,23,above chikou,66
EXC,Exelon,-1,-70,below chikou,-1,-38,below chikou,-1,-6,below chikou,1,22,above chikou,-92
FE,FirstEnergy,-1,-68,below chikou,-1,-31,below chikou,-1,-6,below chikou,1,27,above chikou,-78
LNT,Alliant Energy,-1,-63,below chikou,-1,-39,below chikou,-1,-6,below chikou,1,25,above chikou,-83
NEE,NextEra Energy,-1,-65,below chikou,-1,-36,below chikou,-1,-8,below chikou,1,14,above chikou,-95
NI,NiSource,-1,-11,below chikou,-1,-49,below chikou,-1,-8,below chikou,1,57,above chikou,-11
NRG,NRG Energy,-1,-57,below chikou,-1,-40,below chikou,-1,-28,below chikou,1,63,above chikou,-62
PCG,PG&E Corporation,-1,-11,below chikou,-1,-17,below chikou,-1,-5,below chikou,-1,-2,below chikou,-35
PEG,Public Service Enterprise Group,-1,-70,below chikou,-1,-46,below chikou,-1,-9,below chikou,0,190,above chikou,65
PNW,Pinnacle West Capital,-1,-70,below chikou,-1,-39,below chikou,-1,-3,below chikou,1,35,above chikou,-77
PPL,PPL Corporation,-1,-65,below chikou,-1,-25,below chikou,-1,-9,below chikou,1,34,above chikou,-65
SO,Southern Company,-1,-64,below chikou,-1,-36,below chikou,-1,-6,below chikou,1,93,above chikou,-13
SRE,Sempra,-1,-62,below chikou,-1,-39,below chikou,-1,-8,below chikou,1,17,above chikou,-92
VST,Vistra Corp.,-1,-7,below chikou,-1,-5,below chikou,-1,-41,below chikou,1,55,above chikou,2
WEC,WEC Energy Group,-1,-63,below chikou,-1,-39,below chikou,-1,-6,below chikou,1,23,above chikou,-85
XEL,Xcel Energy,-1,-62,below chikou,-1,-38,below chikou,-1,-6,below chikou,1,23,above chikou,-83
