Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
WMT,Walmart,83.69,11,63,87,86,247,16,54,39,20,129,376
HD,Home Depot,400.16,3,63,52,168,286,17,-6,9,9,29,315
MCD,McDonald's,297.32,0,1,12,233,246,15,-3,9,48,69,315
CAT,Caterpillar,383.3,7,39,107,52,205,7,-6,5,48,54,259
V,Visa,293.35,35,5,13,123,176,41,14,7,17,79,255
AXP,American Express,276.06,7,42,52,90,191,7,-5,46,11,59,250
AAPL,Apple,223.45,-32,0,28,242,238,-31,-3,21,18,5,243
MSFT,Microsoft,411.46,-28,-4,84,155,207,2,6,-10,16,14,221
GS,Goldman Sachs,527.23,2,23,52,48,125,3,31,46,9,89,214
AMZN,Amazon,199.5,21,40,73,12,146,15,5,5,11,36,182
UNH,UnitedHealth Group,567.1,1,-2,17,167,183,-12,-8,21,-10,-9,174
JPM,JPMorgan Chase,221.52,-15,18,78,26,107,-14,18,46,17,67,174
CSCO,Cisco,56.16,3,58,8,3,72,12,52,4,16,84,156
TRV,Travelers,244.83,-42,60,51,48,117,-56,13,10,47,14,131
CRM,Salesforce,297.53,3,39,6,13,61,12,31,6,12,61,122
AMGN,Amgen,319.29,8,-15,61,17,71,-9,-23,20,14,2,73
HON,Honeywell,208.78,0,1,27,13,41,21,-1,5,6,31,72
CVX,Chevron,153.43,21,3,-15,35,44,20,31,-15,-9,27,71
IBM,IBM,207.62,-69,0,68,18,17,-2,-7,14,44,49,66
MMM,3M,126.53,-20,0,30,-2,8,-24,-14,45,5,12,20
DIS,Disney,96.66,6,18,-16,-32,-24,6,50,-18,4,42,18
MRK,Merck,101.64,-91,-32,-7,150,20,-2,-29,-11,38,-4,16
PG,Procter & Gamble,165.79,-84,-6,44,78,32,-99,-6,41,17,-47,-15
VZ,Verizon,41.26,-21,-3,43,-33,-14,-14,-15,9,3,-17,-31
KO,Coca-Cola,65.39,-84,-9,33,53,-7,-96,-26,46,5,-71,-78
INTC,Intel,23.32,7,0,-29,-32,-54,13,-7,-31,-3,-28,-82
JNJ,Johnson & Johnson,158.38,-56,-2,0,0,-58,-14,-5,15,-22,-26,-84
BA,Boeing,151.01,-5,-56,-32,-4,-97,13,-3,-36,-2,-28,-125
NKE,Nike,78.0,0,-7,-45,-16,-68,15,-17,-38,-28,-68,-136
DOW,Dow,47.89,-147,-9,-5,0,-161,-82,-11,-20,4,-109,-270
