Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
CURY.L,Currys,120.5,160,24,53,1,238,172,27,68,9,276,514
JEDT.L,JPMorgan European Discovery,532.0,172,11,5,7,195,184,14,12,14,224,419
BGEO.L,Lion Finance Group,6750.0,198,20,27,31,276,35,16,24,46,121,397
AGT.L,AVI Global Trust,235.01,180,0,2,61,243,135,4,-10,-2,127,370
LWDB.L,Law Debenture,934.0,198,8,4,55,265,39,16,-6,54,103,368
JAM.L,JPMorgan American Investment Trust,1004.0,117,0,0,72,189,47,4,-8,124,167,356
GSCT.L,Global Smaller Companies Trust,157.8,170,2,-11,18,179,193,14,-29,-1,177,356
USA.L,Baillie Gifford US Growth Trust,247.74,120,2,76,0,198,135,14,-7,12,154,352
SAIN.L,Scottish American Investment Company,514.0,83,3,1,177,264,80,16,-16,-2,78,342
PCFT.L,Polar Capital Global Financials Trust,205.9,135,6,69,18,228,81,14,-4,10,101,329
FSV.L,Fidelity Special Values,345.9,198,15,5,51,269,7,16,10,14,47,316
HET.L,Henderson European Trust,191.4,130,5,3,59,197,72,14,-7,23,102,299
HRI.L,Herald Investment Trust,2185.0,133,1,0,7,141,133,12,-9,15,151,292
PNL.L,Personal Assets Trust,515.0,0,19,18,72,109,79,16,75,9,179,288
BUT.L,Brunner Investment Trust,1382.0,80,3,0,174,257,-9,16,-15,23,15,272
FEV.L,Fidelity European Trust,404.5,137,7,3,72,219,39,4,12,-2,53,272
PAG.L,Paragon Banking Group,902.0,183,20,5,19,227,9,16,-7,23,41,268
JGGI.L,JPMorgan Global Growth & Income,553.0,81,0,0,62,143,45,16,-6,69,124,267
ESCT.L,European Smaller Companies Trust,194.6,135,9,3,18,165,45,14,12,15,86,251
TMPL.L,Temple Bar Investment Trust,308.5,36,9,66,32,143,45,14,25,23,107,250
HILS.L,Hill & Smith,1936.0,180,3,-15,31,199,45,11,-33,22,45,244
