Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
1810.HK,Xiaomi,28.45,101,55,62,0,218,19,59,33,9,120,338
9961.HK,Trip.com Group,504.0,-4,40,47,0,83,-14,52,6,18,62,145
0939.HK,China Construction Bank,5.95,-4,36,31,0,63,-11,34,46,7,76,139
0288.HK,WH Group,6.08,0,61,39,0,100,-2,-1,7,5,9,109
1378.HK,China Hongqiao Group,13.02,-2,32,34,8,72,-7,33,6,2,34,106
0005.HK,HSBC Holdings plc,69.45,-14,42,35,13,76,-18,11,8,22,23,99
1038.HK,Cheung Kong Infrastructure Holdings Limited,54.1,0,-4,44,4,44,17,13,19,5,54,98
1398.HK,Industrial and Commercial Bank of China,4.66,-6,23,31,0,48,-11,6,46,7,48,96
0175.HK,Geely Auto,14.3,2,41,9,-27,25,-2,55,6,1,60,85
1088.HK,China Shenhua Energy,32.35,-17,-1,48,35,65,-12,-10,-12,43,9,74
3690.HK,Meituan,175.7,-7,47,14,0,54,-12,-1,30,1,18,72
1209.HK,China Resources Mixc Lifestyle,32.9,44,36,7,0,87,-4,-11,6,-11,-20,67
1099.HK,Sinopharm Group,21.15,28,20,0,0,48,37,-13,1,-9,16,64
2382.HK,Sunny Optical,56.4,45,34,0,-22,57,37,-16,17,-31,7,64
3988.HK,Bank of China Ltd,3.64,-14,34,40,4,64,-9,-9,1,8,-9,55
1211.HK,BYD Company,274.0,-20,43,13,8,44,-14,-6,28,2,10,54
2359.HK,WuXi AppTec,57.3,37,42,0,0,79,7,-15,9,-29,-28,51
2388.HK,BOC Hong Kong (Holdings) Ltd,25.2,-7,38,14,-21,24,-12,32,6,1,27,51
0981.HK,Semiconductor Manufacturing International Corporation,27.15,-2,32,7,2,39,-2,-2,8,1,5,44
0881.HK,Zhongsheng Group,17.12,27,31,0,-20,38,29,3,3,-29,6,44
2628.HK,China Life,15.68,-4,40,8,0,44,-12,-8,12,2,-6,38
0700.HK,Tencent Holdings Limited,403.8,-5,-2,30,-2,21,-12,-14,30,8,12,33
0002.HK,CLP Holdings Limited,66.35,24,-10,49,-40,23,5,-24,22,4,7,30
0267.HK,CITIC Limited,9.03,-6,36,8,0,38,-12,-16,8,2,-18,20
2899.HK,Zijin Mining,15.12,-16,-2,0,54,36,-14,-10,-11,18,-17,19
6690.HK,Haier,27.35,-5,-3,11,0,3,5,-10,3,7,5,8
0322.HK,Tingyi,11.08,-14,52,9,-19,28,-19,-7,29,-25,-22,6
0006.HK,Power Assets Holdings Limited,50.5,-41,-3,21,2,-21,-4,11,13,4,24,3
0388.HK,HKEx Limited,312.4,-5,34,8,-21,16,-12,-12,8,2,-14,2
9988.HK,Alibaba Group,90.55,-9,-3,9,0,-3,-12,-13,13,2,-10,-13
0762.HK,China Unicom,6.28,-34,-3,32,0,-5,-26,-12,6,17,-15,-20
0669.HK,Techtronic Industries,107.2,-56,0,37,-1,-20,-2,-13,9,5,-1,-21
1928.HK,Sands China,19.66,-7,32,-2,-43,-20,-12,5,5,-6,-8,-28
0941.HK,China Mobile Ltd,69.1,-21,-13,0,12,-22,-19,-14,-5,32,-6,-28
3692.HK,Hansoh Pharmaceutical Group,17.38,-97,-9,37,0,-69,-12,-10,55,7,40,-29
6862.HK,Haidilao,16.12,-3,0,-1,0,-4,-8,-14,1,-7,-28,-32
0386.HK,Sinopec Corp,4.24,-20,-25,-3,0,-48,-14,-15,34,7,12,-36
2319.HK,Mengniu Dairy,17.6,-2,34,-6,-21,5,-12,-16,3,-28,-53,-48
9618.HK,JD.com,143.1,-20,0,8,0,-12,-12,-7,6,-28,-41,-53
9633.HK,Nongfu Spring,31.05,-4,7,-25,0,-22,-12,-11,-20,9,-34,-56
0992.HK,Lenovo,9.47,-80,-4,9,10,-65,-2,-8,1,17,8,-57
0857.HK,PetroChina Company Limited,5.53,-32,-25,-5,21,-41,-27,-16,-10,37,-16,-57
0836.HK,China Resources Power,17.98,-14,-15,-1,0,-30,-12,-15,-10,9,-28,-58
2020.HK,Anta Sports,84.35,-5,-1,8,-16,-14,-7,-13,5,-30,-45,-59
