Symbol,Name,Close,1H Cloud Score,4H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,4H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
BTCUSD,BTCUSD,115562.6,-8,1,-1,101,45,138,-18,17,8,16,57,80,218
AVAXUSD,AVAXUSD,33.82,49,79,18,0,0,146,-8,17,10,8,-28,-1,145
SOLUSD,SOLUSD,238.12,-7,1,29,4,27,54,-19,12,38,8,-8,31,85
XRPUSD,XRPUSD,2.99,-14,-2,0,46,21,51,-22,12,10,10,21,31,82
XMRUSD,Monero ,296.47,-7,-2,6,51,18,66,-13,-12,7,-2,31,11,77
ETHUSD,ETHUSD,4468.97,-11,-3,74,11,5,76,-20,5,1,11,3,0,76
LINKUSD,LINK/USD,23.52,-5,-3,69,7,5,73,-11,6,1,8,-10,-6,67
TRXUSD,TRXUSD,0.34,-4,0,0,11,32,39,-11,5,4,16,4,18,57
NEARUSD,NEAR/USD,3.17,54,14,3,-35,-3,33,-3,13,9,4,-16,7,40
XLMUSD,Stellar ,0.39,-10,0,0,3,21,14,-19,11,3,11,5,11,25
LTCUSD,LTCUSD,114.31,-8,-4,0,10,6,4,-11,10,7,8,3,17,21
ADAUSD,ADAUSD,0.9,-2,0,3,7,6,14,-14,11,7,4,-5,3,17
DOGEUSD,DOGEUSD,0.27,-8,0,12,-20,22,6,-21,8,8,8,-11,-8,-2
KASUSD,KASUSD,0.08,-16,0,-28,0,0,-44,-18,13,4,-1,0,-2,-46
PEPEUSD,PEPE/USD,0.0,-16,-5,-1,-17,0,-39,-20,10,8,-1,-11,-14,-53
TONUSD,TONUSD,3.12,-8,-4,-16,0,0,-28,-12,4,1,-25,0,-32,-60
DAIUSD,DAIUSD,1.0,-2,15,-39,-20,0,-46,-52,39,-14,-1,5,-23,-69
UNIUSD,UNIUSD,9.17,-14,-34,-1,-6,-1,-56,-12,9,-22,9,-11,-27,-83
APTUSD,Aptos,4.57,0,12,-1,-40,0,-29,-11,11,7,-33,-28,-54,-83
DOTUSD,DOTUSD,4.41,0,13,13,-40,-17,-31,-12,12,10,-34,-29,-53,-84
FETUSD,FETUSD,0.65,-8,-2,-37,-42,-6,-95,-12,10,7,9,-28,-14,-109
ETCUSD,Ethereum Classic,20.22,-13,-28,-2,-35,-16,-94,-12,5,-19,8,-11,-29,-123
STXUSD,STXUSD,0.66,-7,-2,-36,-41,0,-86,-12,10,7,-33,-27,-55,-141
ICPUSD,ICPUSD,4.74,-8,-6,-27,-41,-9,-91,-12,8,-28,4,-27,-55,-146
SHIBUSD,SHIB/USD,0.0,-16,-8,0,-41,-13,-78,-19,-29,8,-33,-29,-102,-180
