Symbol,Name,Close,1H Cloud Score,4H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,4H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
USD_TRY,USD/TRY,48.48,423,423,423,343,158,1770,475,475,359,236,182,1727,3497
EUR_TRY,EUR/TRY,56.51,50,149,54,341,158,752,49,9,46,81,160,345,1097
AUD_NZD,AUD/NZD,1.23,80,66,10,56,14,226,85,70,19,56,22,252,478
ESPIX_EUR,Spain 35,19688.9,-12,-8,92,193,40,305,-24,-4,-4,101,39,108,413
NAS100_USD,US Nas 100,29433.4,-18,25,6,73,193,279,-15,24,-3,15,36,57,336
NL25_EUR,Netherlands 25,1099.76,-11,-3,108,53,78,225,-12,14,-5,66,39,102,327
XCU_USD,Copper,6.73,63,15,31,50,21,180,8,25,2,19,30,84,264
AUD_CHF,AUD/CHF,0.58,2,67,44,30,-44,99,4,75,41,39,1,160,259
SG30_SGD,Singapore 30,532.6,-56,-6,66,128,25,157,-21,-12,87,16,28,98,255
SOYBN_USD,Soybeans,12.95,0,103,21,36,-33,127,-1,55,12,46,5,117,244
BCO_USD,Brent Crude Oil,103.17,65,44,9,30,3,151,19,49,10,-8,7,77,228
SPX500_USD,US SPX 500,7649.2,-42,-4,31,72,190,247,-72,-7,-3,15,38,-29,218
WTICO_USD,West Texas Oil,97.11,59,47,8,28,1,143,21,50,12,-10,1,74,217
AUD_CAD,AUD/CAD,1.0,0,22,15,53,13,103,5,20,14,66,9,114,217
GBP_NZD,GBP/NZD,2.32,54,36,3,2,42,137,15,11,1,12,40,79,216
SUGAR_USD,Sugar,0.18,9,80,27,3,-16,103,5,75,47,3,-26,104,207
JP225_USD,Japan 225,64482.2,-21,-4,-3,68,77,117,-14,-2,-5,66,41,86,203
EU50_EUR,Europe 50,6307.9,-15,-9,0,93,71,140,-16,19,-5,15,39,52,192
JP225Y_JPY,Japan 225 (JPY),64484.7,-21,-4,-3,68,77,117,-14,-2,-5,66,14,59,176
AUD_USD,AUD/USD,0.72,0,29,20,55,9,113,-9,25,36,2,9,63,176
EUR_NZD,EUR/NZD,1.99,49,41,3,0,24,117,17,8,3,-33,45,40,157
DE30_EUR,Germany 30,25563.6,-25,-41,96,17,71,118,-17,-11,-1,16,39,26,144
GBP_USD,GBP/USD,1.35,14,0,31,5,26,76,6,17,-3,3,38,61,137
XPT_USD,Platinum,1885.49,25,13,7,0,17,62,18,25,35,-24,16,70,132
UK100_GBP,UK 100,10643.2,-26,-8,0,74,58,98,-38,-5,-8,16,66,31,129
US2000_USD,US Russ 2000,2923.15,-18,-4,0,57,32,67,-19,-4,-8,64,27,60,127
GBP_CHF,GBP/CHF,1.1,2,3,70,5,-66,14,3,13,70,18,-18,86,100
XAG_USD,Silver,67.29,12,3,2,-9,31,39,16,25,-1,-24,38,54,93
XAU_USD,Gold,4395.32,0,-4,17,0,47,60,15,-8,-1,-20,38,24,84
EUR_USD,EUR/USD,1.16,28,4,20,0,18,70,-4,25,-1,-24,12,8,78
CAD_CHF,CAD/CHF,0.59,0,51,44,0,-47,48,1,11,44,14,-44,26,74
WHEAT_USD,Wheat,7.11,-8,-3,43,30,0,62,-22,-18,12,33,3,8,70
EUR_CAD,EUR/CAD,1.61,9,-34,-7,1,27,-4,20,-12,-18,17,41,48,44
EUR_GBP,EUR/GBP,0.86,7,40,7,-1,-6,47,-3,-11,29,-33,13,-5,42
GBP_CAD,GBP/CAD,1.87,12,-46,-7,14,29,2,6,7,-33,17,40,37,39
US30_USD,US Wall St 30,52503.0,-63,-19,0,64,78,60,-74,-11,-5,15,39,-36,24
AUD_JPY,AUD/JPY,110.88,-66,-30,-6,49,58,5,-21,-40,-1,66,9,13,18
SGD_JPY,SGD/JPY,121.51,-139,-30,-7,62,60,-54,5,-27,16,63,11,68,14
CH20_CHF,Switzerland 20,13796.2,-34,-31,-1,50,29,13,-49,-8,-9,15,28,-23,-10
HK33_HKD,Hong Kong 33,24995.0,-42,-15,32,0,17,-8,-17,-6,-7,1,24,-5,-13
CORN_USD,Corn,5.06,-26,0,21,5,-38,-38,-24,-7,42,2,2,15,-23
FR40_EUR,France 40,8153.2,-15,-62,-3,0,71,-9,-10,-80,-10,16,69,-15,-24
ZAR_JPY,ZAR/JPY,9.57,-68,-33,-4,56,17,-32,-22,-51,-2,64,9,-2,-34
CAD_JPY,CAD/JPY,111.29,-15,-35,-7,0,60,3,-20,-31,-3,-7,7,-54,-51
USD_CHF,USD/CHF,0.81,2,2,0,0,-43,-39,3,-1,6,19,-39,-12,-51
AU200_AUD,Australia 200,8778.5,-45,-48,-2,0,72,-23,-55,-13,-7,7,39,-29,-52
XPD_USD,Palladium,1350.34,-37,-2,11,-15,0,-43,3,-7,-1,-24,14,-15,-58
EUR_JPY,EUR/JPY,178.69,-141,-34,-7,0,67,-115,5,-35,-4,-6,68,28,-87
CHINAH_HKD,China H Shares,8281.6,-46,-15,0,-1,0,-62,-48,-10,-6,1,24,-39,-101
CN50_USD,China A50,14632.3,0,-30,-44,0,0,-74,-3,-25,-13,-3,13,-31,-105
NATGAS_USD,Natural Gas,2.8,-34,-4,-3,-30,-8,-79,-26,-9,11,-24,20,-28,-107
USD_JPY,USD/JPY,153.64,-134,-33,-14,0,60,-121,2,-27,-27,57,9,14,-107
USD_ZAR,USD/ZAR,16.05,7,0,-28,-64,-5,-90,10,8,-26,-5,-9,-22,-112
USD_DKK,USD/DKK,6.43,-28,-4,-20,0,-19,-71,4,-25,-35,24,-12,-44,-115
GBP_JPY,GBP/JPY,208.12,-142,-36,-7,0,55,-130,3,-61,-4,65,12,15,-115
NZD_USD,NZD/USD,0.58,-47,-41,31,0,-44,-101,-9,-7,-5,2,-22,-41,-142
GBP_AUD,GBP/AUD,1.88,8,-70,-11,-42,27,-88,3,-31,-32,6,-8,-62,-150
NZD_CAD,NZD/CAD,0.81,-49,-42,-4,-1,-2,-98,6,-55,-7,16,-22,-62,-160
USB02Y_USD,US 2Y T-Note,102.56,-34,-65,-11,-18,-1,-129,-26,-18,-10,-19,23,-50,-179
EUR_AUD,EUR/AUD,1.61,7,-70,-15,-34,0,-112,16,-25,-20,-39,-7,-75,-187
NZD_JPY,NZD/JPY,89.79,-73,-36,-7,0,0,-116,-22,-58,-6,-1,8,-79,-195
NZD_CHF,NZD/CHF,0.47,-48,-19,46,0,-52,-73,-72,-13,-2,9,-51,-129,-202
CHF_JPY,CHF/JPY,189.62,-202,-36,-41,0,63,-216,-22,-43,-6,-7,75,-3,-219
USB30Y_USD,US T-Bond,108.66,-10,-9,-47,-27,-55,-148,-25,20,-1,-28,-65,-99,-247
USD_SGD,USD/SGD,1.26,-70,-30,-25,-6,-35,-166,1,-33,-36,-2,-40,-110,-276
USB05Y_USD,US 5Y T-Note,105.39,-34,-63,-53,-18,-55,-223,-26,-21,-10,-33,24,-66,-289
UK10YB_GBP,UK 10Y Gilt,85.22,-8,-52,-24,-28,-58,-170,-21,-1,-16,-20,-64,-122,-292
USD_MXN,USD/MXN,16.89,-21,-27,-31,-58,-18,-155,-32,-5,-36,-74,-9,-156,-311
USB10Y_USD,US 10Y T-Note,107.34,-34,-53,-48,-18,-55,-208,-25,-52,-10,-33,-2,-122,-330
USD_NOK,USD/NOK,9.2,-68,-33,-30,-75,-14,-220,-67,-41,-38,-1,-12,-159,-379
DE10YB_EUR,Bund,121.95,-51,-57,-47,-28,-55,-238,-15,-12,-20,-57,-65,-169,-407
