Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
LIN,Linde plc,413.22,-16,-30,-4,113,63,-21,-36,-4,109,48,111
SHW,Sherwin-Williams,329.88,-28,-16,-2,193,147,1,-8,-5,22,10,157
APD,Air Products,253.29,0,-42,-9,0,-51,-24,2,-5,13,-14,-65
FCX,Freeport-McMoRan,41.24,2,1,1,61,65,6,-11,-5,-9,-19,46
ECL,Ecolab,261.53,2,-17,30,25,40,3,-17,-2,22,6,46
CTVA,Corteva,64.67,-3,-48,67,2,18,-20,4,-5,14,-7,11
NEM,Newmont,87.43,0,11,33,8,52,3,2,33,13,51,103
MLM,Martin Marietta Materials,597.15,-35,-4,20,63,44,-35,-17,24,30,2,46
DOW,Dow Inc.,21.32,-18,-4,-57,-4,-83,-17,-7,-72,-11,-107,-190
DD,DuPont,37.87,-6,28,8,22,52,-27,20,21,-6,8,60
VMC,Vulcan Materials Company,284.31,-30,-5,20,63,48,3,-17,24,30,40,88
NUE,Nucor,148.59,28,18,5,2,53,-1,15,21,-11,24,77
PPG,PPG Industries,94.35,-16,-43,-60,-11,-130,-20,-8,-7,-11,-46,-176
IFF,International Flavors & Fragrances,65.12,0,0,-37,-34,-71,-19,20,-49,-4,-52,-123
LYB,LyondellBasell,42.76,-7,-78,-58,-8,-151,-16,-43,-72,-10,-141,-292
SW,Smurfit Westrock,33.66,-39,-49,-11,-1,-100,-33,-16,-4,20,-33,-133
PKG,Packaging Corporation of America,194.35,-23,-16,-1,64,24,-30,-32,17,29,-16,8
BALL,Ball Corporation,47.56,0,-68,-17,-14,-99,-9,-1,-7,-8,-25,-124
STLD,Steel Dynamics,155.5,2,48,14,58,122,-2,62,24,2,86,208
IP,International Paper,36.4,-10,-16,-4,19,-11,-28,-10,-8,19,-27,-38
AVY,Avery Dennison,168.46,-23,21,-4,0,-6,-21,-1,-9,-8,-39,-45
AMCR,Amcor,8.43,0,0,-15,0,-15,-26,19,-15,-5,-27,-42
CF,CF Industries,78.72,-21,-16,-1,7,-31,-17,-25,-7,11,-38,-69
ALB,Albemarle Corporation,125.73,56,50,6,-26,86,68,3,18,-28,61,147
MOS,Mosaic Company (The),24.5,-21,-29,-3,-19,-72,-16,-29,-5,-33,-83,-155
