Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
META,Meta Platforms,594.92,23,0,-4,41,60,14,-8,-41,35,0,60
GOOGL,Alphabet Inc. (Class A),357.55,0,0,60,188,248,-18,4,57,33,76,324
GOOG,Alphabet Inc. (Class C),355.9,0,0,59,188,247,-19,4,56,33,74,321
NFLX,Netflix,76.3,77,-57,-18,32,34,7,3,-9,-2,-1,33
TMUS,T-Mobile US,178.12,1,0,-42,151,110,-3,-5,-16,-3,-27,83
CMCSA,Comcast,25.22,69,0,-17,-21,31,14,3,-14,-19,-16,15
DIS,Walt Disney Company (The),103.19,42,3,0,0,45,42,4,-7,15,54,99
TTWO,Take-Two Interactive,253.65,8,2,3,25,38,6,-13,9,32,34,72
T,AT&T,24.08,2,3,-11,28,22,18,17,-11,27,51,73
CHTR,Charter Communications,153.32,72,0,-56,-48,-32,-6,3,-8,-13,-24,-56
VZ,Verizon,47.03,0,12,29,24,65,18,13,-3,26,54,119
OMC,Omnicom Group,84.67,21,28,7,2,58,31,-1,6,-13,23,81
LYV,Live Nation Entertainment,184.55,42,70,16,159,287,-13,-7,26,28,34,321
WBD,Warner Bros. Discovery,26.89,22,2,64,0,88,21,-12,-11,12,10,98
NWSA,News Corp (Class A),28.49,33,12,3,70,118,-11,23,17,-3,26,144
FOXA,Fox Corporation (Class A),63.43,23,3,0,13,39,14,14,-9,26,45,84
FOX,Fox Corporation (Class B),56.35,23,3,0,13,39,21,14,-9,26,52,91
NWS,News Corp (Class B),32.49,47,11,3,70,131,-12,20,16,-2,22,153
