Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
XOM,ExxonMobil,148.82,-7,-4,40,54,83,-19,-5,52,60,88,171
CVX,Chevron Corporation,186.75,0,-3,50,58,105,-7,-5,44,6,38,143
COP,ConocoPhillips,116.79,-7,-11,24,7,13,-5,-8,23,4,14,27
WMB,Williams Companies,71.6,-9,-2,155,62,206,-9,-5,23,67,76,282
EOG,EOG Resources,136.15,-4,7,18,55,76,-15,24,17,4,30,106
SLB,Schlumberger,55.85,-6,45,24,6,69,-13,52,26,5,70,139
OKE,Oneok,87.77,0,6,5,64,75,-6,-5,22,-9,2,77
PSX,Phillips 66,178.94,0,17,38,51,106,-5,24,52,5,76,182
MPC,Marathon Petroleum,258.13,0,35,42,59,136,-16,26,53,6,69,205
KMI,Kinder Morgan,31.33,-9,-9,22,54,58,-11,-5,23,62,69,127
VLO,Valero Energy,253.64,0,108,43,54,205,-16,28,52,6,70,275
BKR,Baker Hughes,63.55,-6,0,47,45,86,-13,-9,47,36,61,147
TRGP,Targa Resources,264.1,0,35,28,61,124,-5,26,26,64,111,235
OXY,Occidental Petroleum,56.55,-19,-1,19,0,-1,-23,19,17,4,17,16
FANG,Diamondback Energy,194.22,-7,21,21,57,92,-19,28,30,4,43,135
HAL,Halliburton,39.61,-7,197,28,6,224,-14,-5,38,4,23,247
DVN,Devon Energy,44.07,-21,-6,22,0,-5,-24,-11,52,4,21,16
EQT,EQT Corporation,52.69,-23,-24,0,52,5,-14,-42,-2,20,-38,-33
APA,APA Corporation,36.61,-7,0,35,4,32,-23,-5,48,5,25,57
