Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
JPM,JPMorgan Chase,362.8,63,50,175,170,458,32,49,10,38,129,587
V,Visa Inc.,364.02,0,44,7,145,196,8,42,7,38,95,291
MA,Mastercard,569.26,0,34,3,167,204,9,42,2,38,91,295
BAC,Bank of America,64.49,66,52,69,30,217,-5,50,11,26,82,299
WFC,Wells Fargo,88.79,19,47,1,41,108,-5,9,2,31,37,145
GS,Goldman Sachs,1038.95,-7,0,144,70,207,-4,-13,62,33,78,285
SPGI,S&P Global,418.74,12,2,-28,184,170,12,-7,2,-4,3,173
AXP,American Express,342.43,0,44,0,111,155,18,7,6,33,64,219
MS,Morgan Stanley,217.35,21,6,128,76,231,-4,1,14,28,39,270
PGR,Progressive Corporation,209.56,-21,-3,-1,189,164,-21,-19,3,-5,-42,122
BLK,BlackRock,1173.95,29,23,2,34,88,37,23,5,33,98,186
BX,Blackstone Inc.,143.91,70,31,-30,154,225,34,24,3,-7,54,279
C,Citigroup,139.32,21,2,71,30,124,26,3,62,26,117,241
CB,Chubb Limited,343.58,-27,38,41,70,122,-36,-3,40,68,69,191
SCHW,Charles Schwab Corporation,111.09,105,32,7,23,167,18,44,3,26,91,258
ICE,Intercontinental Exchange,154.74,9,14,-23,173,173,12,23,-13,-3,19,192
KKR,KKR & Co.,114.0,28,16,-30,111,125,26,24,2,-7,45,170
PYPL,PayPal,61.66,16,25,2,-51,-8,12,35,5,-10,42,34
AON,Aon plc,355.83,-23,35,0,189,201,3,-5,7,-1,4,205
CME,CME Group,269.77,10,2,0,148,160,12,18,-11,33,52,212
USB,U.S. Bancorp,65.4,27,47,52,16,142,26,47,59,28,160,302
PNC,PNC Financial Services,256.85,19,50,54,26,149,22,51,59,27,159,308
MCO,Moody's Corporation,484.91,9,34,1,168,212,23,-9,5,37,56,268
AJG,Arthur J. Gallagher & Co.,251.21,6,38,0,3,47,-2,-3,5,-6,-6,41
COF,Capital One,227.34,100,27,0,33,160,22,36,1,30,89,249
TRV,Travelers Companies (The),370.35,-30,46,143,70,229,-35,43,76,68,152,381
TFC,Truist Financial,53.1,17,38,53,16,124,19,46,10,26,101,225
AFL,Aflac,121.46,-42,85,53,70,166,5,-3,13,67,82,248
ALL,Allstate,261.37,-23,47,29,171,224,-34,42,63,29,100,324
AMP,Ameriprise Financial,569.55,106,32,7,76,221,26,42,5,83,156,377
AIG,American International Group,76.65,-35,-3,-1,65,26,-40,-6,6,33,-7,19
FIS,Fidelity National Information Services,42.91,9,2,-54,-49,-92,27,-4,-49,-8,-34,-126
MET,MetLife,97.68,0,86,16,70,172,7,88,12,30,137,309
MSCI,MSCI,569.28,0,-19,1,26,8,5,-12,17,32,42,50
PRU,Prudential Financial,125.14,15,60,11,67,153,29,70,7,8,114,267
ACGL,Arch Capital Group,98.69,0,2,11,74,87,4,-5,2,1,2,89
HIG,Hartford (The),138.02,-33,31,8,69,75,-35,32,2,68,67,142
MTB,M&T Bank,254.02,29,50,53,34,166,28,52,10,25,115,281
NDAQ,"Nasdaq, Inc.",97.02,21,23,3,156,203,12,23,-22,26,39,242
WTW,Willis Towers Watson,331.6,-7,32,3,36,64,-16,35,3,-2,20,84
FITB,Fifth Third Bancorp,58.03,21,52,52,34,159,23,8,11,27,69,228
STT,State Street Corporation,191.64,64,93,69,27,253,27,3,61,26,117,370
RJF,Raymond James Financial,180.79,12,29,7,70,118,-2,40,6,31,75,193
GPN,Global Payments,93.06,16,35,1,-51,1,11,32,1,-22,22,23
TROW,T. Rowe Price,110.57,-25,0,16,0,-9,-19,-5,13,8,-3,-12
BRO,Brown & Brown,70.54,-2,35,-51,0,-18,11,47,3,-8,53,35
CPAY,Corpay,417.68,112,68,15,33,228,30,26,12,2,70,298
HBAN,Huntington Bancshares,17.92,42,50,12,33,137,-2,-13,4,26,15,152
CBOE,Cboe Global Markets,295.96,0,0,7,67,74,12,20,-4,63,91,165
CINF,Cincinnati Financial,173.14,-36,-4,137,74,171,-2,-20,9,27,14,185
SYF,Synchrony Financial,80.99,17,16,2,33,68,23,14,6,30,73,141
RF,Regions Financial Corporation,31.9,14,48,59,34,155,23,52,9,26,110,265
NTRS,Northern Trust,191.41,66,90,68,23,247,33,4,62,25,124,371
CFG,Citizens Financial Group,74.74,21,50,60,26,157,23,47,59,26,155,312
PFG,Principal Financial Group,113.98,10,87,49,67,213,17,90,59,30,196,409
WRB,W. R. Berkley Corporation,70.51,-72,38,8,188,162,8,-4,2,67,73,235
FDS,FactSet,283.51,4,35,0,-12,27,9,26,5,-13,27,54
EG,Everest Group,370.11,-30,35,10,3,18,5,-4,19,2,22,40
KEY,KeyCorp,23.31,16,50,60,16,142,22,-12,60,25,95,237
L,Loews Corporation,113.03,-72,38,164,67,197,-40,-4,62,36,54,251
JKHY,Jack Henry & Associates,153.38,-7,23,-23,-6,-13,9,30,-20,-8,11,-2
ERIE,Erie Indemnity,256.01,60,14,-69,-5,0,2,8,-87,-11,-88,-88
AIZ,Assurant,282.19,-30,81,53,164,268,-5,87,14,32,128,396
GL,Globe Life,181.01,-21,88,97,26,190,2,5,28,20,55,245
IVZ,Invesco,32.55,14,12,59,14,99,12,26,10,25,73,172
BEN,Franklin Resources,33.87,-37,86,60,8,117,12,10,30,8,60,177
