Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
GE,GE Aerospace,299.73,-49,-1,49,34,33,-14,-2,60,36,80,113
CAT,Caterpillar Inc.,694.1,-3,210,38,71,316,-11,-4,38,64,87,403
RTX,RTX Corporation,204.52,-11,210,107,61,367,-20,60,114,21,175,542
UBER,Uber,73.34,-6,-84,-6,6,-90,-5,3,-16,33,15,-75
UNP,Union Pacific Corporation,242.31,-48,31,16,205,204,-45,-1,18,2,-26,178
ETN,Eaton Corporation,355.33,0,29,7,121,157,-9,-9,4,79,65,222
HON,Honeywell,234.48,-23,48,10,185,220,-9,-1,8,29,27,247
LMT,Lockheed Martin,646.1,-28,56,10,172,210,-26,61,25,3,63,273
ADP,Automatic Data Processing,208.62,-15,-35,-20,0,-70,-26,-34,-24,-1,-85,-155
DE,Deere & Company,577.74,-65,45,10,116,106,-13,-2,10,17,12,118
UPS,United Parcel Service,97.22,-70,-2,0,-23,-95,-13,-7,13,-41,-48,-143
BA,Boeing,209.98,-28,-3,38,0,7,-27,-23,8,3,-39,-32
TT,Trane Technologies,422.48,-63,31,7,171,146,-8,-5,1,36,24,170
GEV,GE Vernova,805.05,-2,70,26,0,94,-6,37,41,0,72,166
PH,Parker Hannifin,890.0,-63,-1,47,72,55,-13,-4,40,37,60,115
GD,General Dynamics,351.49,-7,0,38,61,92,2,4,40,64,110,202
TDG,TransDigm Group,1214.8,-38,-15,-3,164,108,-48,-28,9,64,-3,105
WM,Waste Management,238.54,-3,63,5,194,259,3,78,8,166,255,514
NOC,Northrop Grumman,733.41,-8,44,40,65,141,3,56,10,19,88,229
CTAS,Cintas,194.28,-20,31,-1,174,184,-8,41,2,194,229,413
ITW,Illinois Tool Works,266.99,-105,0,32,185,112,-96,-4,8,3,-89,23
MMM,3M,150.97,-78,-10,104,21,37,-13,-9,40,21,39,76
CSX,CSX Corporation,39.31,-49,37,26,11,25,-14,-1,40,3,28,53
EMR,Emerson Electric,132.26,-63,-2,46,71,52,-14,-13,9,33,15,67
CARR,Carrier Global,55.65,-63,-1,-29,0,-93,-11,-6,1,-3,-19,-112
FDX,FedEx,351.62,-49,105,20,39,115,-9,-2,32,3,24,139
NSC,Norfolk Southern,289.28,-48,-1,41,11,3,-41,-2,40,21,18,21
PCAR,Paccar,115.32,-49,0,17,166,134,-45,-7,27,41,16,150
URI,United Rentals,737.21,-42,-13,-1,71,15,-38,-4,-12,64,10,25
JCI,Johnson Controls,130.16,-63,31,105,26,99,-9,-1,40,25,55,154
GWW,W. W. Grainger,1074.18,-42,0,9,101,68,-15,-6,8,64,51,119
LHX,L3Harris,359.07,-8,56,42,12,102,-20,4,42,21,47,149
PWR,Quanta Services,558.99,30,40,47,106,223,-2,36,40,79,153,376
CPRT,Copart,34.1,-24,-21,-43,0,-88,-48,-3,-53,-6,-110,-198
CMI,Cummins,535.67,-24,0,35,72,83,-9,-5,36,37,59,142
PAYX,Paychex,92.57,-13,-43,-26,0,-82,-27,4,-31,-1,-55,-137
FAST,Fastenal,45.47,-14,37,79,113,215,-9,40,2,30,63,278
HWM,Howmet Aerospace,236.77,-48,57,178,36,223,-14,20,122,64,192,415
RSG,Republic Services,224.3,-9,36,-1,184,210,12,9,4,167,192,402
OTIS,Otis Worldwide,83.2,-49,-4,-34,0,-87,-54,-3,-7,-3,-67,-154
IR,Ingersoll Rand,82.13,-113,-2,0,30,-85,-14,-7,8,2,-11,-96
AME,Ametek,214.5,-49,0,34,113,98,-14,-1,40,108,133,231
VRSK,Verisk Analytics,201.23,-15,-31,-26,0,-72,-28,11,-32,-1,-50,-122
ODFL,Old Dominion,180.75,-42,0,0,3,-39,-15,68,8,-8,53,14
DAL,Delta Air Lines,58.78,-77,-8,31,26,-28,-12,-13,32,33,40,12
EFX,Equifax,184.28,-24,-33,-34,-1,-92,-36,17,-21,-3,-43,-135
WAB,Wabtec,236.6,-55,93,25,56,119,-14,-1,15,63,63,182
AXON,Axon Enterprise,496.45,-14,-32,-7,101,48,-44,6,-21,37,-22,26
XYL,Xylem Inc.,119.89,-49,-23,-1,29,-44,-13,-30,-8,29,-22,-66
ROK,Rockwell Automation,360.97,-54,-8,45,22,5,-18,-18,40,3,7,12
FTV,Fortive,54.27,-57,-1,6,5,-47,-65,-3,19,-12,-61,-108
VLTO,Veralto,90.19,-42,-28,-6,0,-76,-59,-1,-19,5,-74,-150
DOV,Dover Corporation,203.85,-91,0,18,113,40,-13,-5,13,4,-1,39
