Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
PG,Procter & Gamble,148.11,13,-27,-8,187,165,7,1,7,-5,10,175
COST,Costco,1010.64,26,7,12,188,233,47,-3,10,192,246,479
WMT,Walmart,129.91,40,6,163,109,318,47,15,46,37,145,463
KO,Coca-Cola Company (The),76.63,1,0,30,190,221,7,-2,21,22,48,269
PEP,PepsiCo,155.41,-19,0,13,0,-6,6,7,7,2,22,16
PM,Philip Morris International,164.18,21,-26,1,63,59,13,2,15,35,65,124
MO,Altria,66.88,14,2,106,53,175,21,13,7,24,65,240
MDLZ,Mondelez International,57.63,0,2,-10,0,-8,7,-2,7,-17,-5,-13
CL,Colgate-Palmolive,84.64,1,-26,0,31,6,8,-31,14,-5,-14,-8
TGT,Target Corporation,129.25,1,94,5,-19,81,-9,14,14,-14,5,86
KMB,Kimberly-Clark,97.87,0,-27,-35,-2,-64,7,5,-47,-5,-40,-104
KVUE,Kenvue,17.47,0,-25,-34,0,-59,7,4,11,-3,19,-40
KR,Kroger,67.22,-6,-1,0,75,68,10,-13,7,23,27,95
GIS,General Mills,34.96,-6,-38,-77,-12,-133,-5,-41,-73,-27,-146,-279
MNST,Monster Beverage,78.22,44,0,62,188,294,13,5,55,12,85,379
STZ,Constellation Brands,155.95,-8,12,0,-11,-7,-3,17,12,-16,10,3
KDP,Keurig Dr Pepper,29.23,42,1,0,0,43,46,3,9,-8,50,93
SYY,Sysco,76.56,47,-19,1,11,40,5,-31,-1,22,-5,35
KHC,Kraft Heinz,21.92,-34,-11,-78,-8,-131,2,-1,-50,-18,-67,-198
ADM,Archer Daniels Midland,68.78,13,0,38,2,53,-1,-5,46,4,44,97
HSY,Hershey Company (The),191.46,-77,-11,24,0,-64,6,-30,15,6,-3,-67
CHD,Church & Dwight,95.01,-3,0,0,4,1,7,2,13,-5,17,18
EL,Estée Lauder Companies (The),77.8,7,-39,0,-34,-66,1,-35,-3,-43,-80,-146
MKC,McCormick & Company,51.53,-6,-34,-42,-10,-92,1,3,-50,-5,-51,-143
CLX,Clorox,98.7,-35,-27,-8,-13,-83,-33,-32,9,-7,-63,-146
DG,Dollar General,120.68,-7,-27,22,-25,-37,-21,1,20,4,4,-33
TSN,Tyson Foods,64.01,-6,21,15,4,34,-2,15,17,19,49,83
CAG,Conagra Brands,14.15,-15,-32,-68,-15,-130,-20,-37,-2,-31,-90,-220
DLTR,Dollar Tree,103.74,-11,-39,28,-2,-24,-17,-36,-2,4,-51,-75
BG,Bunge Global,124.83,27,74,28,4,133,-2,-6,46,4,42,175
SJM,J.M. Smucker Company (The),96.06,47,-26,-6,-2,13,6,-31,7,-31,-49,-36
TAP,Molson Coors Beverage Company,42.44,-26,-37,-10,-2,-75,-28,9,-2,-11,-32,-107
CPB,Campbell's Company (The),20.61,0,-39,-68,-14,-121,-22,-40,-22,-13,-97,-218
HRL,Hormel Foods,21.54,35,-33,-46,-31,-75,48,-32,9,-38,-13,-88
