Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
NEE,NextEra Energy,91.64,-1,46,27,7,79,-12,-4,42,20,46,125
SO,Southern Company,93.99,-30,30,9,197,206,-33,50,5,86,108,314
DUK,Duke Energy,127.37,-30,35,108,190,303,-33,50,7,23,47,350
CEG,Constellation Energy,294.88,-20,0,1,0,-19,-20,-2,-12,26,-8,-27
SRE,Sempra,94.98,0,29,32,188,249,6,29,40,6,81,330
AEP,American Electric Power,128.81,-34,35,105,30,136,4,46,55,21,126,262
D,Dominion Energy,60.28,-34,-3,46,5,14,-33,-13,5,17,-24,-10
PEG,Public Service Enterprise Group,80.18,-26,-3,-1,159,129,-28,-5,6,24,-3,126
PCG,PG&E Corporation,17.36,-26,34,7,8,23,-33,-3,7,-8,-37,-14
VST,Vistra Corp.,152.72,-21,-3,-2,37,11,-21,-7,-18,52,6,17
EXC,Exelon,47.28,-27,28,87,21,109,-33,40,7,17,31,140
ED,Consolidated Edison,109.87,-26,49,12,54,89,-31,57,11,52,89,178
XEL,Xcel Energy,77.95,-35,30,83,19,97,-35,-3,7,16,-15,82
EIX,Edison International,71.31,-20,96,7,5,88,5,-2,32,-8,27,115
WEC,WEC Energy Group,113.09,-21,35,87,20,121,-31,50,6,18,43,164
ETR,Entergy,102.53,-30,41,108,144,263,5,-3,121,21,144,407
AWK,American Water Works,133.58,-3,27,0,2,26,-2,22,-22,15,13,39
DTE,DTE Energy,143.29,-30,35,14,196,215,-32,-2,6,20,-8,207
PPL,PPL Corporation,37.06,-29,33,108,30,142,-33,53,7,21,48,190
ES,Eversource Energy,67.47,-59,-1,47,7,-6,-52,-3,42,9,-4,-10
AEE,Ameren,107.68,-28,48,88,20,128,-31,52,6,17,44,172
FE,FirstEnergy,49.16,-27,47,38,62,120,-33,50,42,21,80,200
ATO,Atmos Energy,181.58,-30,30,106,52,158,-37,33,7,52,55,213
CMS,CMS Energy,75.34,-21,33,14,30,56,-31,46,3,21,39,95
CNP,CenterPoint Energy,42.03,-26,48,81,52,155,-32,51,75,22,116,271
NRG,NRG Energy,151.11,-6,-3,135,101,227,-14,-10,6,28,10,237
NI,NiSource,45.69,-27,48,106,52,179,-34,51,121,21,159,338
LNT,Alliant Energy,69.67,-27,35,100,21,129,-33,46,7,20,40,169
EVRG,Evergy,79.94,-29,41,90,21,123,2,-3,109,17,125,248
AES,AES Corporation,14.12,-39,-9,14,-1,-35,-51,-9,38,-31,-53,-88
PNW,Pinnacle West Capital,97.93,-30,50,14,25,59,-35,52,11,33,61,120
