Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
LLY,Lilly (Eli),976.92,-7,-8,21,179,185,-7,-14,22,103,104,289
UNH,UnitedHealth Group,277.06,-7,-32,-48,-11,-98,-5,7,-6,-8,-12,-110
JNJ,Johnson & Johnson,242.06,0,176,38,14,228,-4,41,35,13,85,313
ABBV,AbbVie,225.32,-28,15,47,65,99,-12,17,-5,71,71,170
MRK,Merck & Co.,115.9,-62,113,13,5,69,-7,-1,25,2,19,88
TMO,Thermo Fisher Scientific,477.63,-20,-25,0,0,-45,-26,-26,25,1,-26,-71
ABT,Abbott Laboratories,108.13,-51,-45,-8,20,-84,-12,-1,-14,21,-6,-90
ISRG,Intuitive Surgical,479.27,-7,-29,-7,29,-14,-12,6,13,33,40,26
AMGN,Amgen,367.96,-1,40,20,172,231,-1,45,28,43,115,346
PFE,Pfizer,26.86,0,40,18,-30,28,30,33,37,2,102,130
DHR,Danaher Corporation,186.25,-63,-25,-2,-1,-91,-77,-26,33,-11,-81,-172
BSX,Boston Scientific,68.54,-56,-43,-6,151,46,-55,-35,-18,64,-44,2
VRTX,Vertex Pharmaceuticals,478.0,21,4,8,111,144,21,-6,15,-2,28,172
SYK,Stryker Corporation,337.25,-42,-3,-2,166,119,-49,14,-21,36,-20,99
MDT,Medtronic,87.39,-56,-8,0,0,-64,-49,-17,-1,20,-47,-111
GILD,Gilead Sciences,145.21,0,38,81,42,161,-3,-5,38,46,76,237
BMY,Bristol Myers Squibb,58.92,-40,87,15,2,64,-9,83,18,12,104,168
REGN,Regeneron Pharmaceuticals,746.65,-7,-1,0,0,-8,-7,-5,26,-11,3,-5
ELV,Elevance Health,287.9,0,-14,-7,-2,-23,14,-30,11,-10,-15,-38
CI,Cigna,265.72,-42,-5,-23,5,-65,-35,-5,6,-8,-42,-107
ZTS,Zoetis,116.5,-56,-6,-65,-10,-137,-7,-5,-32,-12,-56,-193
CVS,CVS Health,76.06,-17,-3,40,6,26,-42,7,-1,7,-29,-3
BDX,Becton Dickinson,159.64,-75,83,6,-12,2,-82,-3,10,-22,-97,-95
HCA,HCA Healthcare,532.45,-1,29,33,104,165,22,28,46,36,132,297
MCK,McKesson Corporation,943.88,0,25,72,65,162,17,43,22,74,156,318
EW,Edwards Lifesciences,84.62,10,4,4,-21,-3,19,11,13,3,46,43
COR,Cencora,352.65,-42,0,74,82,114,-42,38,85,75,156,270
GEHC,GE HealthCare,70.34,-63,-8,-1,0,-72,-74,-6,-1,3,-78,-150
A,Agilent Technologies,111.59,-42,-38,-2,-1,-83,-7,-32,-5,5,-39,-122
RMD,ResMed,232.4,-35,-3,-1,20,-19,-36,-13,-20,20,-49,-68
IQV,IQVIA,162.93,-7,-27,-2,-2,-38,-29,-27,-1,1,-56,-94
IDXX,Idexx Laboratories,571.27,-42,-31,44,11,-18,-64,-29,-6,3,-96,-114
CNC,Centene Corporation,34.54,-22,-3,-1,-18,-44,-34,12,11,-35,-46,-90
HUM,Humana,163.73,-42,-32,-7,-19,-100,-55,-30,-11,-27,-123,-223
DXCM,Dexcom,65.26,-42,-2,-29,-21,-94,-62,10,7,-16,-61,-155
MTD,Mettler Toledo,1168.0,-70,-30,-1,0,-101,-7,-32,-1,3,-37,-138
CAH,Cardinal Health,219.05,-1,115,85,45,244,-12,47,22,64,121,365
BIIB,Biogen,184.73,-1,33,8,-34,6,-1,-4,27,-25,-3,3
WST,West Pharmaceutical Services,231.15,-21,-38,-1,-14,-74,-39,-3,-8,-15,-65,-139
STE,Steris,212.34,-63,-10,-1,202,128,-62,-6,52,32,16,144
COO,Cooper Companies (The),71.55,-49,-6,0,-12,-67,-62,-5,17,-10,-60,-127
ZBH,Zimmer Biomet,92.6,-2,19,-27,-24,-34,11,21,-19,-25,-12,-46
WAT,Waters Corporation,283.32,-36,-23,-3,-1,-63,-30,-37,-1,-3,-71,-134
LH,Labcorp,262.81,-45,0,85,22,62,-2,9,5,25,37,99
MOH,Molina Healthcare,149.28,2,-24,-43,-9,-74,12,-24,-6,-15,-33,-107
HOLX,Hologic,75.19,-14,24,21,3,34,-19,17,33,2,33,67
BAX,Baxter International,18.0,0,-8,-53,-45,-106,10,-8,-44,-48,-90,-196
MRNA,Moderna,53.38,-1,66,3,-11,57,-2,12,8,-46,-28,29
DGX,Quest Diagnostics,200.87,-1,27,98,25,149,17,38,1,21,77,226
PODD,Insulet Corporation,236.12,-56,-70,-6,11,-121,-12,-65,-8,13,-72,-193
ALGN,Align Technology,166.62,-56,75,-1,-32,-14,17,-1,7,-45,-22,-36
RVTY,Revvity,84.72,-35,-15,-3,-31,-84,-33,-24,16,-6,-47,-131
VTRS,Viatris,13.8,-76,101,22,3,50,-8,-2,32,3,25,75
UHS,Universal Health Services,190.49,-77,-11,0,29,-59,7,-9,-1,6,3,-56
TECH,Bio-Techne,51.48,-41,-20,-2,-31,-94,-33,-21,25,-13,-42,-136
INCY,Incyte,92.03,-63,-14,33,6,-38,-8,-34,36,14,8,-30
SOLV,Solventum,66.17,-58,-20,-2,0,-80,-61,-33,-1,0,-95,-175
CRL,Charles River Laboratories,152.64,-17,-21,0,-33,-71,-30,-26,36,1,-19,-90
HSIC,Henry Schein,74.97,-65,-1,17,3,-46,-35,-4,13,2,-24,-70
DVA,DaVita,153.24,0,27,1,27,55,18,27,-50,-3,-8,47
