Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
AMZN,Amazon,226.09,44,63,77,13,197,59,28,9,12,108,305
TSLA,"Tesla, Inc.",389.86,31,32,7,2,72,41,24,23,2,90,162
HD,Home Depot (The),429.34,14,12,56,169,251,24,14,13,10,61,312
MCD,McDonald's,301.41,21,0,16,234,271,24,3,13,49,89,360
LOW,Lowe's,274.16,14,2,45,57,118,6,9,13,10,38,156
BKNG,Booking Holdings,5143.46,-2,64,100,27,189,-2,75,9,18,100,289
TJX,TJX Companies,125.9,7,21,111,189,328,15,21,81,26,143,471
SBUX,Starbucks,99.33,-8,83,6,4,85,-21,24,12,-8,7,92
NKE,"Nike, Inc.",77.65,0,-30,-49,-17,-96,-3,4,-42,-29,-70,-166
CMG,Chipotle Mexican Grill,64.59,28,23,91,72,214,24,18,3,21,66,280
ORLY,O'Reilly Auto Parts,1254.66,4,99,127,191,421,7,54,18,81,160,581
MAR,Marriott International,286.97,24,62,15,47,148,-1,72,9,18,98,246
ABNB,Airbnb,137.27,0,31,-2,0,29,-2,-13,3,10,-2,27
GM,General Motors,52.74,-47,43,45,3,44,7,-1,9,5,20,64
HLT,Hilton Worldwide,250.0,-2,62,76,55,191,21,76,110,18,225,416
AZO,AutoZone,3324.11,55,11,58,78,202,14,17,18,49,98,300
DHI,D. R. Horton,160.97,-34,-29,104,57,98,-42,-1,14,22,-7,91
ROST,Ross Stores,156.24,78,10,108,27,223,19,4,-3,20,40,263
RCL,Royal Caribbean Group,247.14,90,65,85,20,260,86,80,50,19,235,495
F,Ford Motor Company,10.62,-39,-4,-20,-12,-75,2,-1,-12,-27,-38,-113
LEN,Lennar,166.04,-28,-29,104,56,103,-41,-1,14,21,-7,96
YUM,Yum! Brands,139.1,2,11,2,57,72,-4,10,10,21,37,109
LULU,Lululemon Athletica,404.87,68,45,0,1,114,40,6,4,-4,46,160
EBAY,eBay,65.14,14,1,41,2,58,19,11,46,7,83,141
TSCO,Tractor Supply,283.85,0,-3,47,77,121,-18,4,13,77,76,197
NVR,"NVR, Inc.",9127.45,0,-6,101,57,152,1,-1,50,21,71,223
PHM,PulteGroup,128.48,-28,-5,101,57,125,-36,9,104,21,98,223
DECK,Deckers Brands,201.56,0,31,112,85,228,-16,57,5,23,69,297
GRMN,Garmin,219.4,27,28,74,11,140,26,28,101,12,167,307
CCL,Carnival,25.4,-4,62,13,0,71,-12,71,9,11,79,150
EXPE,Expedia Group,189.53,28,85,13,3,129,19,54,18,6,97,226
DRI,Darden Restaurants,168.7,-7,13,5,50,61,-8,10,12,21,35,96
LVS,Las Vegas Sands,55.18,77,13,2,1,93,10,6,9,-6,19,112
APTV,Aptiv,57.41,34,-27,-66,-16,-75,26,1,-61,-28,-62,-137
BBY,Best Buy,87.35,-14,-9,28,-3,2,-11,-40,20,6,-25,-23
ULTA,Ulta Beauty,418.05,54,8,-36,50,76,67,3,8,-1,77,153
GPC,Genuine Parts Company,125.93,-1,-34,-14,0,-49,3,9,-25,-14,-27,-76
DPZ,Domino's,457.64,-2,24,0,2,24,-8,33,-21,10,14,38
POOL,Pool Corporation,380.29,3,12,0,0,15,11,10,11,-1,31,46
TPR,"Tapestry, Inc.",62.3,0,64,44,13,121,-17,31,9,5,28,149
KMX,CarMax,87.22,17,12,4,-28,5,21,23,2,3,49,54
NCLH,Norwegian Cruise Line Holdings,25.97,-7,63,13,0,69,-17,71,9,12,75,144
LKQ,LKQ Corporation,39.43,7,0,-36,0,-29,26,13,-28,-15,-4,-33
CZR,Caesars Entertainment,36.68,-10,-16,-6,-17,-49,-7,-27,10,-29,-53,-102
MGM,MGM Resorts,36.61,-6,-5,-20,47,16,-33,2,-27,-1,-59,-43
WYNN,Wynn Resorts,95.94,7,0,-7,0,0,12,6,9,-1,26,26
HAS,Hasbro,64.97,0,-23,22,-31,-32,-5,4,36,2,37,5
RL,Ralph Lauren Corporation,227.93,0,63,58,26,147,-5,7,9,18,29,176
BWA,BorgWarner,34.31,0,0,-3,0,-3,-12,4,4,-8,-12,-15
MHK,Mohawk Industries,132.95,-42,-19,45,-3,-19,-51,-3,46,6,-2,-21
