Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
XLV,Health Care,166.58,-16,56,48,190,278,-19,75,11,11,78,356
XLK,Technology,187.93,24,5,28,193,250,21,21,15,5,62,312
XLF,Financials,57.06,-14,67,15,71,139,-12,59,14,33,94,233
XLI,Industrials,171.8,-8,-7,72,77,134,-5,-8,66,40,93,227
XLP,Consumer Staples,83.04,-41,-3,36,207,199,-28,-2,7,31,8,207
XLE,Energy,65.31,46,36,28,60,170,12,38,2,-16,36,206
XLU,Utilities,42.95,17,-28,0,190,179,28,-24,-6,-16,-18,161
XLY,Consumer Discretionary,112.48,-70,-1,0,193,122,-14,-3,14,-16,-19,103
XLB,Materials,51.39,-29,26,28,78,103,-19,-1,36,-16,0,103
XLRE,Real Estate,43.42,-61,-7,67,27,26,-9,-22,29,26,24,50
XLC,Communication Services,110.82,-14,0,0,23,9,-14,20,-12,34,28,37
