Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
RSG,Republic Services,234.9,28,38,103,172,341,-2,43,72,155,268,609
TJX,TJX Companies,116.24,0,-11,127,193,309,20,-18,96,188,286,595
COST,Costco,895.24,-6,-9,96,175,256,-12,-10,97,179,254,510
ORLY,O’Reilly Automotive,1341.78,15,42,142,194,393,-3,-4,33,84,110,503
CTAS,Cintas,194.43,0,-7,127,172,292,23,-5,-8,182,192,484
PGR,Progressive Corporation,274.56,-14,31,84,172,273,-12,38,1,184,211,484
AJG,Arthur J. Gallagher & Co.,334.45,7,35,144,181,367,7,-4,7,102,112,479
MMC,Marsh McLennan,233.44,1,32,104,170,307,1,-4,1,173,171,478
WM,Waste Management,226.85,1,35,74,182,292,26,-5,6,154,181,473
BSX,Boston Scientific,101.51,14,1,123,139,277,28,-18,127,52,189,466
MSI,Motorola Solutions,422.38,19,-26,126,148,267,33,-20,-6,180,187,454
ETR,Entergy,84.63,13,170,58,134,375,3,-9,68,9,71,446
ROL,"Rollins, Inc.",51.69,0,35,10,281,326,27,38,2,30,97,423
BRO,Brown & Brown,119.79,27,30,95,158,310,35,43,4,21,103,413
MCD,McDonald's,306.97,0,28,31,237,296,24,35,1,52,112,408
ICE,Intercontinental Exchange,175.58,28,35,91,156,310,39,38,1,16,94,404
YUM,Yum! Brands,157.9,0,30,7,254,291,25,31,1,52,109,400
TDG,TransDigm Group,1360.5,14,6,124,152,296,36,21,-6,52,103,399
WRB,W. R. Berkley Corporation,63.58,30,20,73,171,294,-5,39,3,50,87,381
DTE,DTE Energy,136.94,35,31,53,184,303,36,27,6,8,77,380
UNH,UnitedHealth Group,511.19,30,-24,-5,171,172,33,1,-10,179,203,375
WMB,Williams Companies,59.73,36,5,91,47,179,52,1,91,52,196,375
TRGP,Targa Resources,199.52,28,0,125,46,199,49,-23,96,49,171,370
FICO,Fair Isaac,1853.45,30,0,124,161,315,38,-5,-7,26,52,367
CME,CME Group,266.54,32,44,33,131,240,39,41,29,14,123,363
AAPL,Apple Inc.,214.15,0,-9,47,246,284,17,-9,-4,66,70,354
SO,Southern Company,89.97,-14,22,55,185,248,-13,42,2,74,105,353
